-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";0;"AnimPos";3;0,00;0;
-900;2;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";0;"Door Open";0;0,00;0;
-900;3;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";0;"Coordinate";286;98,00;1;
-900;4;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";160;"Coordinate";294;115,00;1;
-900;5;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";380;"Coordinate";300;115,00;1;
-900;6;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";720;"Coordinate";308;115,00;1;
-900;7;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";830;"Coordinate";314;115,00;1;
-900;8;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";940;"Coordinate";322;115,00;1;
-900;9;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";1060;"Coordinate";322;120,00;1;
-900;10;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";1280;"Coordinate";322;115,00;1;
-900;11;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";1500;"Coordinate";328;115,00;1;
-900;12;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";1730;"Coordinate";336;115,00;1;
-900;13;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";1840;"Coordinate";342;115,00;1;
-900;14;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";2180;"Coordinate";342;112,00;1;
-900;15;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";2400;"Coordinate";350;115,00;1;
-900;16;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";2620;"Coordinate";350;120,00;1;
-900;17;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";2740;"Coordinate";342;120,00;1;
-900;18;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";2850;"Coordinate";336;129,00;1;
-900;19;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";2960;"Coordinate";342;129,00;1;
-900;20;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";3070;"Coordinate";350;129,00;1;
-900;21;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";3300;"Coordinate";350;140,00;1;
-900;22;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";3410;"Coordinate";350;129,00;1;
-900;23;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";3860;"Coordinate";342;129,00;1;
-900;24;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";4080;"Coordinate";336;129,00;1;
-900;25;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";4300;"Coordinate";342;120,00;1;
-900;26;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";4420;"Coordinate";364;126,00;1;
-900;27;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";4530;"Coordinate";364;129,00;1;
-900;28;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";4640;"Coordinate";364;132,00;1;
-900;29;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";4750;"Coordinate";364;137,00;1;
-900;30;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";4860;"Coordinate";356;137,00;1;
-900;31;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";4980;"Coordinate";356;143,00;1;
-900;32;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";5090;"Coordinate";364;154,00;1;
-900;33;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";5200;"Coordinate";364;168,00;1;
-900;34;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";5310;"Coordinate";342;168,00;1;
-900;35;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";5420;"Coordinate";342;162,00;1;
-900;36;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";5650;"Coordinate";356;157,00;1;
-900;37;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";5760;"Coordinate";370;162,00;1;
-900;38;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";5870;"Coordinate";347;165,00;1;
-900;39;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";5980;"Coordinate";336;171,00;1;
-900;40;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";6100;"Coordinate";350;176,00;1;
-900;41;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";6210;"Coordinate";384;202,00;1;
-900;42;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";6320;"Coordinate";384;210,00;1;
-900;43;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";6430;"Coordinate";384;216,00;1;
-900;44;1;1;2;"";"";"";"";"";"";"";"";"";"05/02/2022";"12:21:02";"Da";6660;"Coordinate";384;227,00;1;
