-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;9;1;3;"";"";"";"";"";"";"";"";"";"05/03/2022";"12:31:02";"Da";0;"AnimPos";3;0,00;0;
-900;2;9;1;3;"";"";"";"";"";"";"";"";"";"05/03/2022";"12:31:02";"Da";0;"Door Open";0;0,00;0;
-900;3;9;1;3;"";"";"";"";"";"";"";"";"";"05/03/2022";"12:31:02";"Da";0;"Coordinate";319;227,00;1;
-900;4;9;1;3;"";"";"";"";"";"";"";"";"";"05/03/2022";"12:31:02";"Da";110;"Coordinate";325;232,00;1;
-900;5;9;1;3;"";"";"";"";"";"";"";"";"";"05/03/2022";"12:31:02";"Da";220;"Coordinate";325;227,00;1;
-900;6;9;1;3;"";"";"";"";"";"";"";"";"";"05/03/2022";"12:31:02";"Da";440;"Coordinate";314;221,00;1;
-900;7;9;1;3;"";"";"";"";"";"";"";"";"";"05/03/2022";"12:31:02";"Da";560;"Coordinate";314;216,00;1;
-900;8;9;1;3;"";"";"";"";"";"";"";"";"";"05/03/2022";"12:31:02";"Da";670;"Coordinate";316;216,00;1;
-900;9;9;1;3;"";"";"";"";"";"";"";"";"";"05/03/2022";"12:31:02";"Da";890;"Coordinate";328;218,00;1;
-900;10;9;1;3;"";"";"";"";"";"";"";"";"";"05/03/2022";"12:31:02";"Da";1000;"Coordinate";333;218,00;1;
-900;11;9;1;3;"";"";"";"";"";"";"";"";"";"05/03/2022";"12:31:02";"Da";1230;"Coordinate";328;218,00;1;
-900;12;9;1;3;"";"";"";"";"";"";"";"";"";"05/03/2022";"12:31:02";"Da";1340;"Coordinate";333;218,00;1;
-900;13;9;1;3;"";"";"";"";"";"";"";"";"";"05/03/2022";"12:31:02";"Da";1790;"Coordinate";333;213,00;1;
-900;14;9;1;3;"";"";"";"";"";"";"";"";"";"05/03/2022";"12:31:02";"Da";1900;"Coordinate";319;196,00;1;
