-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;3;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:39:39";"Da";0;"AnimPos";3;0,00;0;
-900;2;3;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:39:39";"Da";0;"Door Open";0;0,00;0;
-900;3;3;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:39:39";"Da";0;"Coordinate";302;288,00;1;
-900;4;3;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:39:39";"Da";450;"Coordinate";325;288,00;1;
-900;5;3;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:39:39";"Da";560;"Coordinate";330;274,00;1;
-900;6;3;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:39:39";"Da";680;"Coordinate";336;272,00;1;
-900;7;3;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:39:39";"Da";790;"Coordinate";342;260,00;1;
-900;8;3;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:39:39";"Da";900;"Coordinate";342;244,00;1;
-900;9;3;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:39:39";"Da";1010;"Coordinate";342;238,00;1;
-900;10;3;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:39:39";"Da";1120;"Coordinate";344;227,00;1;
-900;11;3;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:39:39";"Da";1240;"Coordinate";353;221,00;1;
-900;12;3;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:39:39";"Da";1460;"Coordinate";342;221,00;1;
-900;13;3;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:39:39";"Da";1570;"Coordinate";339;221,00;1;
-900;14;3;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:39:39";"Da";1680;"Coordinate";328;202,00;1;
-900;15;3;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:39:39";"Da";1800;"Coordinate";328;199,00;1;
-900;16;3;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:39:39";"Da";1910;"Coordinate";325;199,00;1;
