-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;4;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:58:05";"Da";0;"AnimPos";3;0,00;0;
-900;2;4;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:58:05";"Da";0;"Door Open";0;0,00;0;
-900;3;4;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:58:05";"Da";0;"Coordinate";350;171,00;1;
-900;4;4;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:58:05";"Da";230;"Coordinate";356;193,00;1;
-900;5;4;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:58:05";"Da";340;"Coordinate";356;190,00;1;
-900;6;4;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:58:05";"Da";450;"Coordinate";350;190,00;1;
-900;7;4;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:58:05";"Da";560;"Coordinate";350;174,00;1;
-900;8;4;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:58:05";"Da";790;"Coordinate";350;196,00;1;
-900;9;4;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:58:05";"Da";1010;"Coordinate";342;196,00;1;
-900;10;4;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:58:05";"Da";1350;"Coordinate";350;185,00;1;
-900;11;4;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:58:05";"Da";1460;"Coordinate";350;188,00;1;
-900;12;4;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:58:05";"Da";1570;"Coordinate";336;182,00;1;
-900;13;4;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:58:05";"Da";1680;"Coordinate";330;210,00;1;
-900;14;4;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"10:58:05";"Da";1790;"Coordinate";330;199,00;1;
