-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";0;"AnimPos";1;0,00;0;
-900;2;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";0;"Door Open";0;0,00;0;
-900;3;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";0;"Coordinate";118;216,00;1;
-900;4;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";2710;"Coordinate";112;216,00;1;
-900;5;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";2940;"Coordinate";112;221,00;1;
-900;6;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";3050;"Coordinate";112;227,00;1;
-900;7;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";3500;"Coordinate";104;221,00;1;
-900;8;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";3610;"Coordinate";98;221,00;1;
-900;9;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";3720;"Coordinate";112;227,00;1;
-900;10;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";4060;"Coordinate";106;221,00;1;
-900;11;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";4170;"Coordinate";98;221,00;1;
-900;12;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";4390;"Coordinate";106;221,00;1;
-900;13;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";4500;"Coordinate";98;221,00;1;
-900;14;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";4620;"Coordinate";106;221,00;1;
-900;15;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";4840;"Coordinate";112;221,00;1;
-900;16;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";5060;"Coordinate";118;210,00;1;
-900;17;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";5180;"Coordinate";118;216,00;1;
-900;18;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";5510;"Coordinate";112;216,00;1;
-900;19;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";5620;"Coordinate";106;221,00;1;
-900;20;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";5740;"Coordinate";104;221,00;1;
-900;21;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";5850;"Coordinate";106;210,00;1;
-900;22;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";6070;"Coordinate";104;216,00;1;
-900;23;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";6180;"Coordinate";98;227,00;1;
-900;24;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";6300;"Coordinate";98;221,00;1;
-900;25;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";6520;"Coordinate";104;221,00;1;
-900;26;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";6630;"Coordinate";112;230,00;1;
-900;27;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";6740;"Coordinate";112;216,00;1;
-900;28;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";6860;"Coordinate";112;210,00;1;
-900;29;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";7080;"Coordinate";104;224,00;1;
-900;30;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";7190;"Coordinate";98;216,00;1;
-900;31;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";7420;"Coordinate";104;216,00;1;
-900;32;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";7530;"Coordinate";104;218,00;1;
-900;33;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";8090;"Coordinate";104;227,00;1;
-900;34;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";8310;"Coordinate";98;227,00;1;
-900;35;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";8540;"Coordinate";104;227,00;1;
-900;36;2;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"09:48:09";"Da";8870;"Coordinate";104;235,00;1;
