-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";0;"AnimPos";1;0,00;0;
-900;2;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";0;"Door Open";0;0,00;0;
-900;3;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";0;"Coordinate";118;137,00;1;
-900;4;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";80;"Coordinate";118;120,00;1;
-900;5;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";190;"Coordinate";104;101,00;1;
-900;6;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";310;"Coordinate";104;112,00;1;
-900;7;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";420;"Coordinate";87;118,00;1;
-900;8;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";530;"Coordinate";87;123,00;1;
-900;9;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";640;"Coordinate";81;126,00;1;
-900;10;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";750;"Coordinate";98;120,00;1;
-900;11;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";980;"Coordinate";104;148,00;1;
-900;12;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";1090;"Coordinate";109;148,00;1;
-900;13;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";1200;"Coordinate";81;168,00;1;
-900;14;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";1310;"Coordinate";67;179,00;1;
-900;15;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";1430;"Coordinate";90;185,00;1;
-900;16;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";1540;"Coordinate";76;202,00;1;
-900;17;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";1650;"Coordinate";84;210,00;1;
-900;18;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";1760;"Coordinate";73;246,00;1;
-900;19;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";1870;"Coordinate";45;258,00;1;
-900;20;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";1990;"Coordinate";34;260,00;1;
-900;21;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";2100;"Coordinate";42;266,00;1;
-900;22;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";2210;"Coordinate";34;272,00;1;
-900;23;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";2320;"Coordinate";34;277,00;1;
-900;24;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";2430;"Coordinate";28;274,00;1;
-900;25;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";2770;"Coordinate";28;283,00;1;
-900;26;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";2880;"Coordinate";34;283,00;1;
-900;27;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";2990;"Coordinate";48;255,00;1;
-900;28;7;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:01:05";"Da";3110;"Coordinate";56;272,00;1;
