-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;6;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:00:04";" ";0;"Stimulus";0;0,00;0;
-900;2;6;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:00:04";" ";360;"Coordinate";280;98,00;1;
-900;3;6;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:00:04";" ";470;"Coordinate";280;95,00;1;
-900;4;6;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:00:04";" ";920;"Coordinate";272;92,00;1;
-900;5;6;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:00:04";" ";1030;"Coordinate";280;90,00;1;
-900;6;6;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:00:04";" ";1140;"Coordinate";272;92,00;1;
-900;7;6;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:00:04";" ";1360;"Coordinate";255;92,00;1;
-900;8;6;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:00:04";" ";1590;"Coordinate";263;92,00;1;
-900;9;6;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:00:04";" ";1700;"Coordinate";272;92,00;1;
-900;10;6;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:00:04";" ";1920;"Coordinate";280;92,00;1;
-900;11;6;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:00:04";" ";2260;"Coordinate";263;92,00;1;
-900;12;6;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:00:04";" ";2370;"Coordinate";246;90,00;1;
-900;13;6;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:00:04";" ";2480;"Coordinate";238;109,00;1;
