-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";0;"Stimulus";0;0,00;0;
-900;2;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";0;"Coordinate";291;266,00;1;
-900;3;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";20;"Coordinate";288;263,00;1;
-900;4;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";140;"Coordinate";291;266,00;1;
-900;5;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";1480;"Coordinate";297;266,00;1;
-900;6;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";1820;"Coordinate";291;266,00;1;
-900;7;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";2260;"Coordinate";297;277,00;1;
-900;8;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";3010;"Delay E-Stim";0;0,00;0;
-900;9;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";3050;"Coordinate";291;269,00;1;
-900;10;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";5000;"E-Stim";2;1,00;0;
-900;11;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";5290;"Coordinate";272;266,00;1;
-900;12;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";5960;"Coordinate";283;274,00;1;
-900;13;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";6070;"Coordinate";305;272,00;1;
-900;14;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";6180;"Coordinate";305;274,00;1;
-900;15;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";6300;"Coordinate";325;249,00;1;
-900;16;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";6410;"Coordinate";302;255,00;1;
-900;17;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";6520;"Coordinate";308;260,00;1;
-900;18;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";6630;"Coordinate";316;260,00;1;
-900;19;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";6740;"Coordinate";319;255,00;1;
-900;20;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";6860;"Coordinate";308;255,00;1;
-900;21;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";6970;"Coordinate";308;252,00;1;
-900;22;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";7080;"Coordinate";308;260,00;1;
-900;23;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";7190;"Coordinate";314;260,00;1;
-900;24;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";7300;"Coordinate";311;260,00;1;
-900;25;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";7420;"Coordinate";314;260,00;1;
-900;26;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";7530;"Coordinate";314;252,00;1;
-900;27;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";7640;"Coordinate";308;252,00;1;
-900;28;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";7750;"Coordinate";319;252,00;1;
-900;29;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";7860;"Coordinate";322;255,00;1;
-900;30;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";7980;"Coordinate";325;227,00;1;
-900;31;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";8090;"Coordinate";330;210,00;1;
-900;32;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";8200;"Coordinate";353;185,00;1;
-900;33;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";8310;"Coordinate";350;196,00;1;
-900;34;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";8420;"Coordinate";350;179,00;1;
-900;35;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";8540;"Coordinate";347;140,00;1;
-900;36;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";8650;"Coordinate";319;118,00;1;
-900;37;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";8760;"Coordinate";300;98,00;1;
-900;38;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";8870;"Coordinate";294;90,00;1;
-900;39;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";8980;"Coordinate";288;104,00;1;
-900;40;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";9100;"Coordinate";280;109,00;1;
-900;41;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";9210;"Coordinate";274;115,00;1;
-900;42;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";9320;"Coordinate";283;143,00;1;
-900;43;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";9430;"Coordinate";269;118,00;1;
-900;44;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";9540;"Coordinate";269;112,00;1;
-900;45;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";9770;"Coordinate";283;129,00;1;
-900;46;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";9880;"Coordinate";302;165,00;1;
-900;47;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";9990;"Coordinate";330;207,00;1;
-900;48;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";10010;"Offset";2;1,00;0;
-900;49;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";10100;"Coordinate";333;252,00;1;
-900;50;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";10330;"Coordinate";347;277,00;1;
-900;51;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";10440;"Coordinate";347;269,00;1;
-900;52;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";10660;"Coordinate";347;263,00;1;
-900;53;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";10780;"Coordinate";347;269,00;1;
-900;54;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";10890;"Coordinate";347;249,00;1;
-900;55;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";11000;"Coordinate";347;238,00;1;
-900;56;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";11110;"Coordinate";347;227,00;1;
-900;57;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";11220;"Coordinate";347;232,00;1;
-900;58;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";11340;"Coordinate";350;269,00;1;
-900;59;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";11450;"Coordinate";342;241,00;1;
-900;60;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";11560;"Coordinate";336;252,00;1;
-900;61;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";11670;"Coordinate";336;246,00;1;
-900;62;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";11900;"Coordinate";330;252,00;1;
-900;63;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";12010;"Coordinate";330;258,00;1;
-900;64;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";12120;"Coordinate";330;260,00;1;
-900;65;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";12340;"Coordinate";336;255,00;1;
-900;66;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";12460;"Coordinate";330;255,00;1;
-900;67;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";12570;"Coordinate";330;260,00;1;
-900;68;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";12680;"Coordinate";325;274,00;1;
-900;69;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";12790;"Coordinate";308;283,00;1;
-900;70;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";12900;"Coordinate";280;319,00;1;
-900;71;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";13020;"Coordinate";269;322,00;1;
-900;72;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";13130;"Coordinate";252;328,00;1;
-900;73;9;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"13:05:05";" ";13240;"Coordinate";260;328,00;1;
