-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";0;"Stimulus";0;0,00;0;
-900;2;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";0;"Coordinate";356;277,00;1;
-900;3;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";210;"Coordinate";356;272,00;1;
-900;4;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";550;"Coordinate";356;280,00;1;
-900;5;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";660;"Coordinate";356;294,00;1;
-900;6;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";770;"Coordinate";364;291,00;1;
-900;7;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";880;"Coordinate";364;274,00;1;
-900;8;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";990;"Coordinate";364;263,00;1;
-900;9;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";1110;"Coordinate";370;255,00;1;
-900;10;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";1220;"Coordinate";370;244,00;1;
-900;11;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";1440;"Coordinate";370;235,00;1;
-900;12;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";1550;"Coordinate";378;232,00;1;
-900;13;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";1670;"Coordinate";370;269,00;1;
-900;14;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";1780;"Coordinate";350;269,00;1;
-900;15;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";1890;"Coordinate";350;272,00;1;
-900;16;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";2000;"Coordinate";328;269,00;1;
-900;17;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";2110;"Coordinate";350;269,00;1;
-900;18;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";2230;"Coordinate";336;280,00;1;
-900;19;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";2340;"Coordinate";328;302,00;1;
-900;20;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";2450;"Coordinate";328;311,00;1;
-900;21;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";2560;"Coordinate";336;311,00;1;
-900;22;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";2670;"Coordinate";322;316,00;1;
-900;23;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";2790;"Coordinate";336;308,00;1;
-900;24;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";2900;"Coordinate";322;308,00;1;
-900;25;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";3010;"Coordinate";322;311,00;1;
-900;26;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";3010;"Delay E-Stim";0;0,00;0;
-900;27;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";3120;"Coordinate";328;311,00;1;
-900;28;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";3230;"Coordinate";322;311,00;1;
-900;29;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";3910;"Coordinate";322;308,00;1;
-900;30;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";4020;"Coordinate";336;308,00;1;
-900;31;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";4130;"Coordinate";342;308,00;1;
-900;32;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";4350;"Coordinate";336;308,00;1;
-900;33;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";4800;"Coordinate";336;305,00;1;
-900;34;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";5010;"E-Stim";1;0,00;0;
-900;35;3;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:29:04";" ";5920;"Coordinate";336;308,00;1;
