-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";0;"Stimulus";0;0,00;0;
-900;2;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";0;"Coordinate";330;280,00;1;
-900;3;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";350;"Coordinate";330;286,00;1;
-900;4;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";470;"Coordinate";325;266,00;1;
-900;5;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";580;"Coordinate";325;260,00;1;
-900;6;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";1140;"Coordinate";330;260,00;1;
-900;7;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";1250;"Coordinate";325;272,00;1;
-900;8;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";1360;"Coordinate";322;266,00;1;
-900;9;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";1590;"Coordinate";316;260,00;1;
-900;10;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";1810;"Coordinate";322;260,00;1;
-900;11;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";1920;"Coordinate";325;260,00;1;
-900;12;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";2150;"Coordinate";330;260,00;1;
-900;13;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";2370;"Coordinate";330;255,00;1;
-900;14;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";2480;"Coordinate";330;246,00;1;
-900;15;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";2590;"Coordinate";333;238,00;1;
-900;16;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";3000;"Delay E-Stim";0;0,00;0;
-900;17;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";3150;"Coordinate";322;238,00;1;
-900;18;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";3380;"Coordinate";325;238,00;1;
-900;19;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";3490;"Coordinate";314;283,00;1;
-900;20;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";3600;"Coordinate";316;266,00;1;
-900;21;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";3830;"Coordinate";322;266,00;1;
-900;22;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";4050;"Coordinate";322;260,00;1;
-900;23;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";4500;"Coordinate";322;269,00;1;
-900;24;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";4610;"Coordinate";328;269,00;1;
-900;25;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";4720;"Coordinate";325;269,00;1;
-900;26;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";4830;"Coordinate";325;263,00;1;
-900;27;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";5000;"E-Stim";1;0,00;0;
-900;28;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";5060;"Coordinate";325;269,00;1;
-900;29;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";5170;"Coordinate";325;274,00;1;
-900;30;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";5280;"Coordinate";325;260,00;1;
-900;31;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";5390;"Coordinate";325;244,00;1;
-900;32;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";5620;"Coordinate";330;244,00;1;
-900;33;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";5730;"Coordinate";330;232,00;1;
-900;34;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";5840;"Coordinate";339;232,00;1;
-900;35;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";5950;"Coordinate";339;224,00;1;
-900;36;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";6070;"Coordinate";339;227,00;1;
-900;37;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";6400;"Coordinate";339;232,00;1;
-900;38;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";7300;"Coordinate";339;238,00;1;
-900;39;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";7970;"Coordinate";339;227,00;1;
-900;40;4;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"10:50:08";" ";8080;"Coordinate";330;230,00;1;
