-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";0;"Stimulus";0;0,00;0;
-900;2;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";0;"Coordinate";288;140,00;1;
-900;3;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";850;"Coordinate";302;146,00;1;
-900;4;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";960;"Coordinate";297;148,00;1;
-900;5;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";1070;"Coordinate";305;154,00;1;
-900;6;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";1180;"Coordinate";286;132,00;1;
-900;7;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";1290;"Coordinate";311;137,00;1;
-900;8;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";1410;"Coordinate";322;162,00;1;
-900;9;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";1520;"Coordinate";305;174,00;1;
-900;10;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";1630;"Coordinate";308;179,00;1;
-900;11;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";1740;"Coordinate";316;196,00;1;
-900;12;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";1850;"Coordinate";328;202,00;1;
-900;13;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";1970;"Coordinate";333;196,00;1;
-900;14;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";2080;"Coordinate";333;190,00;1;
-900;15;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";2190;"Coordinate";322;190,00;1;
-900;16;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";2300;"Coordinate";322;185,00;1;
-900;17;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";2860;"Coordinate";333;185,00;1;
-900;18;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";2970;"Coordinate";333;196,00;1;
-900;19;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";3000;"Delay E-Stim";0;0,00;0;
-900;20;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";3200;"Coordinate";333;221,00;1;
-900;21;8;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:39:04";" ";3310;"Coordinate";325;221,00;1;
