-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;6;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"11:56:43";" ";0;"Stimulus";0;0,00;0;
-900;2;6;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"11:56:43";" ";0;"Coordinate";213;154,00;1;
-900;3;6;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"11:56:43";" ";260;"Coordinate";232;154,00;1;
-900;4;6;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"11:56:43";" ";370;"Coordinate";255;137,00;1;
-900;5;6;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"11:56:43";" ";490;"Coordinate";255;143,00;1;
-900;6;6;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"11:56:43";" ";600;"Coordinate";255;140,00;1;
-900;7;6;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"11:56:43";" ";710;"Coordinate";246;140,00;1;
-900;8;6;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"11:56:43";" ";820;"Coordinate";255;132,00;1;
-900;9;6;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"11:56:43";" ";930;"Coordinate";246;137,00;1;
-900;10;6;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"11:56:43";" ";1160;"Coordinate";246;140,00;1;
-900;11;6;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"11:56:43";" ";2280;"Coordinate";255;137,00;1;
-900;12;6;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"11:56:43";" ";2390;"Coordinate";260;132,00;1;
-900;13;6;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"11:56:43";" ";2500;"Coordinate";269;129,00;1;
