-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;2;1;1;"";"";"";"";"";"";"";"";"";"05/01/2022";"13:03:03";"Da";0;"AnimPos";3;0,00;0;
-900;2;2;1;1;"";"";"";"";"";"";"";"";"";"05/01/2022";"13:03:03";"Da";0;"Door Open";0;0,00;0;
-900;3;2;1;1;"";"";"";"";"";"";"";"";"";"05/01/2022";"13:03:03";"Da";60;"Coordinate";356;146,00;1;
-900;4;2;1;1;"";"";"";"";"";"";"";"";"";"05/01/2022";"13:03:03";"Da";290;"Coordinate";350;137,00;1;
-900;5;2;1;1;"";"";"";"";"";"";"";"";"";"05/01/2022";"13:03:03";"Da";510;"Coordinate";350;132,00;1;
-900;6;2;1;1;"";"";"";"";"";"";"";"";"";"05/01/2022";"13:03:03";"Da";960;"Coordinate";342;132,00;1;
-900;7;2;1;1;"";"";"";"";"";"";"";"";"";"05/01/2022";"13:03:03";"Da";1300;"Coordinate";342;126,00;1;
-900;8;2;1;1;"";"";"";"";"";"";"";"";"";"05/01/2022";"13:03:03";"Da";1410;"Coordinate";336;126,00;1;
-900;9;2;1;1;"";"";"";"";"";"";"";"";"";"05/01/2022";"13:03:03";"Da";1860;"Coordinate";336;132,00;1;
-900;10;2;1;1;"";"";"";"";"";"";"";"";"";"05/01/2022";"13:03:03";"Da";10930;"Coordinate";342;132,00;1;
-900;11;2;1;1;"";"";"";"";"";"";"";"";"";"05/01/2022";"13:03:03";"Da";11040;"Coordinate";350;132,00;1;
-900;12;2;1;1;"";"";"";"";"";"";"";"";"";"05/01/2022";"13:03:03";"Da";11710;"Coordinate";356;132,00;1;
-900;13;2;1;1;"";"";"";"";"";"";"";"";"";"05/01/2022";"13:03:03";"Da";11940;"Coordinate";364;132,00;1;
-900;14;2;1;1;"";"";"";"";"";"";"";"";"";"05/01/2022";"13:03:03";"Da";12050;"Coordinate";356;132,00;1;
-900;15;2;1;1;"";"";"";"";"";"";"";"";"";"05/01/2022";"13:03:03";"Da";12270;"Coordinate";356;137,00;1;
-900;16;2;1;1;"";"";"";"";"";"";"";"";"";"05/01/2022";"13:03:03";"Da";12610;"Coordinate";356;132,00;1;
