-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";0;"AnimPos";3;0,00;0;
-900;2;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";0;"Door Open";0;0,00;0;
-900;3;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";0;"Coordinate";294;165,00;1;
-900;4;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";10;"Coordinate";294;160,00;1;
-900;5;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";120;"Coordinate";294;151,00;1;
-900;6;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";240;"Coordinate";294;126,00;1;
-900;7;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";570;"Coordinate";297;126,00;1;
-900;8;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";680;"Coordinate";297;118,00;1;
-900;9;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";800;"Coordinate";297;126,00;1;
-900;10;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";1240;"Coordinate";297;118,00;1;
-900;11;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";1360;"Coordinate";297;126,00;1;
-900;12;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";1470;"Coordinate";297;132,00;1;
-900;13;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";1580;"Coordinate";297;140,00;1;
-900;14;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";1690;"Coordinate";297;132,00;1;
-900;15;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";1800;"Coordinate";297;140,00;1;
-900;16;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";2590;"Coordinate";294;132,00;1;
-900;17;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";2700;"Coordinate";288;126,00;1;
-900;18;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";2810;"Coordinate";288;132,00;1;
-900;19;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";3260;"Coordinate";283;129,00;1;
-900;20;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";3370;"Coordinate";286;148,00;1;
-900;21;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";3480;"Coordinate";286;140,00;1;
-900;22;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";3600;"Coordinate";286;146,00;1;
-900;23;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";3710;"Coordinate";291;157,00;1;
-900;24;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";3820;"Coordinate";288;162,00;1;
-900;25;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";3930;"Coordinate";288;120,00;1;
-900;26;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";4270;"Coordinate";302;129,00;1;
-900;27;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";5050;"Coordinate";286;129,00;1;
-900;28;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";5610;"Coordinate";277;129,00;1;
-900;29;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";5720;"Coordinate";286;129,00;1;
-900;30;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";5840;"Coordinate";286;140,00;1;
-900;31;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";7520;"Coordinate";280;132,00;1;
-900;32;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";7630;"Coordinate";280;140,00;1;
-900;33;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";7740;"Coordinate";280;143,00;1;
-900;34;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";7960;"Coordinate";294;137,00;1;
-900;35;1;1;5;"";"";"";"";"";"";"";"";"";"05/05/2022";"09:52:59";"Da";8080;"Coordinate";308;129,00;1;
