-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";0;"AnimPos";3;0,00;0;
-900;2;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";0;"Door Open";0;0,00;0;
-900;3;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";1340;"Coordinate";356;92,00;1;
-900;4;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";9070;"Coordinate";356;101,00;1;
-900;5;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";9180;"Coordinate";356;106,00;1;
-900;6;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";9290;"Coordinate";356;101,00;1;
-900;7;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";9630;"Coordinate";350;98,00;1;
-900;8;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";9740;"Coordinate";350;95,00;1;
-900;9;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";9850;"Coordinate";342;95,00;1;
-900;10;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";10080;"Coordinate";350;95,00;1;
-900;11;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";10410;"Coordinate";350;98,00;1;
-900;12;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";10520;"Coordinate";342;98,00;1;
-900;13;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";10860;"Coordinate";342;101,00;1;
-900;14;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";11640;"Coordinate";336;106,00;1;
-900;15;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";11870;"Coordinate";328;106,00;1;
-900;16;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";11980;"Coordinate";336;101,00;1;
-900;17;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";12090;"Coordinate";350;98,00;1;
-900;18;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";12200;"Coordinate";350;95,00;1;
-900;19;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";12760;"Coordinate";356;95,00;1;
-900;20;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";13320;"Coordinate";356;92,00;1;
-900;21;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";13440;"Coordinate";356;95,00;1;
-900;22;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";14780;"Coordinate";350;95,00;1;
-900;23;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";15000;"Coordinate";356;95,00;1;
-900;24;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";15120;"Coordinate";350;95,00;1;
-900;25;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";15230;"Coordinate";356;95,00;1;
-900;26;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";17130;"Coordinate";336;95,00;1;
-900;27;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";17920;"Coordinate";336;92,00;1;
-900;28;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";18250;"Coordinate";328;92,00;1;
-900;29;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";18590;"Coordinate";322;92,00;1;
-900;30;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";18700;"Coordinate";322;90,00;1;
-900;31;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";18920;"Coordinate";328;90,00;1;
-900;32;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";19150;"Coordinate";322;90,00;1;
-900;33;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";19370;"Coordinate";328;90,00;1;
-900;34;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";19480;"Coordinate";328;109,00;1;
-900;35;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";19820;"Coordinate";336;109,00;1;
-900;36;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";21720;"Coordinate";328;109,00;1;
-900;37;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";21950;"Coordinate";308;109,00;1;
-900;38;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";22170;"Coordinate";314;109,00;1;
-900;39;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";22620;"Coordinate";308;109,00;1;
-900;40;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";22840;"Coordinate";314;115,00;1;
-900;41;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";23070;"Coordinate";322;115,00;1;
-900;42;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";23180;"Coordinate";328;115,00;1;
-900;43;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";23290;"Coordinate";322;115,00;1;
-900;44;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";23400;"Coordinate";328;118,00;1;
-900;45;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";24190;"Coordinate";328;115,00;1;
-900;46;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";24300;"Coordinate";328;112,00;1;
-900;47;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";26090;"Coordinate";336;115,00;1;
-900;48;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";26200;"Coordinate";342;115,00;1;
-900;49;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";26430;"Coordinate";350;115,00;1;
-900;50;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";26540;"Coordinate";356;115,00;1;
-900;51;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";26650;"Coordinate";364;118,00;1;
-900;52;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";26990;"Coordinate";364;120,00;1;
-900;53;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";27210;"Coordinate";364;129,00;1;
-900;54;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";27320;"Coordinate";356;129,00;1;
-900;55;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";27440;"Coordinate";342;137,00;1;
-900;56;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";27550;"Coordinate";356;137,00;1;
-900;57;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";27660;"Coordinate";350;120,00;1;
-900;58;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";27770;"Coordinate";350;129,00;1;
-900;59;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";27880;"Coordinate";350;120,00;1;
-900;60;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";28000;"Coordinate";342;112,00;1;
-900;61;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";28110;"Coordinate";328;112,00;1;
-900;62;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";28220;"Coordinate";322;98,00;1;
-900;63;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";28330;"Coordinate";328;95,00;1;
-900;64;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";28440;"Coordinate";350;98,00;1;
-900;65;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";28560;"Coordinate";342;98,00;1;
-900;66;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";28670;"Coordinate";370;98,00;1;
-900;67;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";29120;"Coordinate";370;115,00;1;
-900;68;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";29230;"Coordinate";364;115,00;1;
-900;69;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";30120;"Coordinate";356;115,00;1;
-900;70;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";30350;"Coordinate";350;120,00;1;
-900;71;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";30460;"Coordinate";350;140,00;1;
-900;72;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";30570;"Coordinate";356;140,00;1;
-900;73;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";30680;"Coordinate";350;140,00;1;
-900;74;9;2;1;"";"";"";"";"";"";"";"";"";"05/06/2022";"12:41:56";"Da";31130;"Coordinate";356;140,00;1;
