-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";0;"Stimulus";0;0,00;0;
-900;2;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";0;"Coordinate";336;238,00;1;
-900;3;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";210;"Coordinate";336;241,00;1;
-900;4;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";330;"Coordinate";330;227,00;1;
-900;5;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";440;"Coordinate";328;238,00;1;
-900;6;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";550;"Coordinate";328;244,00;1;
-900;7;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";660;"Coordinate";319;249,00;1;
-900;8;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";770;"Coordinate";308;269,00;1;
-900;9;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";890;"Coordinate";300;286,00;1;
-900;10;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";1000;"Coordinate";294;288,00;1;
-900;11;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";1110;"Coordinate";272;302,00;1;
-900;12;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";1220;"Coordinate";241;311,00;1;
-900;13;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";1330;"Coordinate";272;311,00;1;
-900;14;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";1450;"Coordinate";269;311,00;1;
-900;15;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";1560;"Coordinate";280;311,00;1;
-900;16;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";1670;"Coordinate";286;311,00;1;
-900;17;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";2340;"Coordinate";277;302,00;1;
-900;18;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";2450;"Coordinate";266;302,00;1;
-900;19;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";2570;"Coordinate";286;288,00;1;
-900;20;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";2680;"Coordinate";283;288,00;1;
-900;21;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";2790;"Coordinate";280;288,00;1;
-900;22;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";2900;"Coordinate";286;288,00;1;
-900;23;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";3000;"Delay E-Stim";0;0,00;0;
-900;24;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";3010;"Coordinate";283;288,00;1;
-900;25;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";3130;"Coordinate";277;302,00;1;
-900;26;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";3240;"Coordinate";300;300,00;1;
-900;27;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";3350;"Coordinate";300;305,00;1;
-900;28;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";3460;"Coordinate";302;300,00;1;
-900;29;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";3690;"Coordinate";300;300,00;1;
-900;30;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";5010;"E-Stim";1;0,00;0;
-900;31;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";5140;"Coordinate";300;294,00;1;
-900;32;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";5480;"Coordinate";294;294,00;1;
-900;33;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";5590;"Coordinate";294;305,00;1;
-900;34;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";5700;"Coordinate";286;305,00;1;
-900;35;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";5810;"Coordinate";274;305,00;1;
-900;36;7;1;1;"";"";"";"";"";"";"";"";"";"05/05/2022";"12:21:02";" ";6930;"Coordinate";274;300,00;1;
