-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";0;"AnimPos";1;0,00;0;
-900;2;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";0;"Door Open";0;0,00;0;
-900;3;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";0;"Coordinate";126;328,00;1;
-900;4;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";170;"Coordinate";132;316,00;1;
-900;5;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";620;"Coordinate";126;328,00;1;
-900;6;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";840;"Coordinate";118;328,00;1;
-900;7;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";1180;"Coordinate";109;328,00;1;
-900;8;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";1400;"Coordinate";118;316,00;1;
-900;9;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";1510;"Coordinate";109;316,00;1;
-900;10;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";1630;"Coordinate";104;316,00;1;
-900;11;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";1740;"Coordinate";98;316,00;1;
-900;12;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";1850;"Coordinate";126;308,00;1;
-900;13;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";2070;"Coordinate";118;308,00;1;
-900;14;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";2190;"Coordinate";118;319,00;1;
-900;15;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";2630;"Coordinate";109;328,00;1;
-900;16;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";2750;"Coordinate";95;328,00;1;
-900;17;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";2860;"Coordinate";112;328,00;1;
-900;18;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";2970;"Coordinate";112;319,00;1;
-900;19;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";3080;"Coordinate";104;328,00;1;
-900;20;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";3190;"Coordinate";84;328,00;1;
-900;21;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";3420;"Coordinate";87;328,00;1;
-900;22;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";3530;"Coordinate";112;319,00;1;
-900;23;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";3640;"Coordinate";118;319,00;1;
-900;24;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";3870;"Coordinate";104;328,00;1;
-900;25;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";3980;"Coordinate";90;328,00;1;
-900;26;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";4090;"Coordinate";84;328,00;1;
-900;27;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";4200;"Coordinate";87;328,00;1;
-900;28;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";4310;"Coordinate";95;328,00;1;
-900;29;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";4430;"Coordinate";90;328,00;1;
-900;30;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";4540;"Coordinate";95;328,00;1;
-900;31;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";4650;"Coordinate";90;328,00;1;
-900;32;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";4870;"Coordinate";95;328,00;1;
-900;33;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";5210;"Coordinate";112;319,00;1;
-900;34;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";5320;"Coordinate";118;319,00;1;
-900;35;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";5550;"Coordinate";112;319,00;1;
-900;36;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";6110;"Coordinate";118;316,00;1;
-900;37;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";6890;"Coordinate";112;316,00;1;
-900;38;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";7000;"Coordinate";112;311,00;1;
-900;39;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";7670;"Coordinate";112;316,00;1;
-900;40;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";8010;"Coordinate";126;316,00;1;
-900;41;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";8120;"Coordinate";126;311,00;1;
-900;42;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";8350;"Coordinate";126;308,00;1;
-900;43;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";8460;"Coordinate";126;302,00;1;
-900;44;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";8570;"Coordinate";132;297,00;1;
-900;45;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";9020;"Coordinate";132;291,00;1;
-900;46;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";9690;"Coordinate";132;286,00;1;
-900;47;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";9800;"Coordinate";132;283,00;1;
-900;48;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";9910;"Coordinate";140;286,00;1;
-900;49;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";10030;"Coordinate";132;286,00;1;
-900;50;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";10140;"Coordinate";132;291,00;1;
-900;51;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";10360;"Coordinate";140;291,00;1;
-900;52;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";10470;"Coordinate";140;297,00;1;
-900;53;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";10590;"Coordinate";146;297,00;1;
-900;54;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";10700;"Coordinate";146;300,00;1;
-900;55;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";10810;"Coordinate";154;300,00;1;
-900;56;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";10920;"Coordinate";154;297,00;1;
-900;57;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";11030;"Coordinate";162;297,00;1;
-900;58;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";11150;"Coordinate";154;297,00;1;
-900;59;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";11370;"Coordinate";162;297,00;1;
-900;60;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";11590;"Coordinate";154;297,00;1;
-900;61;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";11710;"Coordinate";154;291,00;1;
-900;62;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";11820;"Coordinate";146;308,00;1;
-900;63;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";12040;"Coordinate";140;308,00;1;
-900;64;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";12490;"Coordinate";146;294,00;1;
-900;65;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";12710;"Coordinate";140;294,00;1;
-900;66;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";13160;"Coordinate";140;300,00;1;
-900;67;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";13270;"Coordinate";132;302,00;1;
-900;68;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";13390;"Coordinate";126;308,00;1;
-900;69;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";13500;"Coordinate";118;308,00;1;
-900;70;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";13610;"Coordinate";112;311,00;1;
-900;71;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";13950;"Coordinate";112;316,00;1;
-900;72;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";14390;"Coordinate";118;316,00;1;
-900;73;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";14510;"Coordinate";112;316,00;1;
-900;74;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";14620;"Coordinate";118;316,00;1;
-900;75;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";15180;"Coordinate";118;319,00;1;
-900;76;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";15630;"Coordinate";112;319,00;1;
-900;77;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";15960;"Coordinate";104;319,00;1;
-900;78;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";16410;"Coordinate";112;319,00;1;
-900;79;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";16520;"Coordinate";118;316,00;1;
-900;80;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";16630;"Coordinate";126;316,00;1;
-900;81;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";16750;"Coordinate";118;311,00;1;
-900;82;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";16860;"Coordinate";112;308,00;1;
-900;83;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";17530;"Coordinate";104;308,00;1;
-900;84;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";17750;"Coordinate";104;311,00;1;
-900;85;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";17980;"Coordinate";98;311,00;1;
-900;86;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";18090;"Coordinate";154;308,00;1;
-900;87;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";18200;"Coordinate";132;300,00;1;
-900;88;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";18310;"Coordinate";98;300,00;1;
-900;89;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";18540;"Coordinate";90;297,00;1;
-900;90;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";18650;"Coordinate";90;300,00;1;
-900;91;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";18870;"Coordinate";76;300,00;1;
-900;92;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";18990;"Coordinate";87;305,00;1;
-900;93;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";19100;"Coordinate";98;300,00;1;
-900;94;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";19210;"Coordinate";98;308,00;1;
-900;95;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";19320;"Coordinate";104;300,00;1;
-900;96;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";19430;"Coordinate";106;291,00;1;
-900;97;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";19550;"Coordinate";106;300,00;1;
-900;98;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";19660;"Coordinate";95;300,00;1;
-900;99;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";19770;"Coordinate";95;291,00;1;
-900;100;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";19990;"Coordinate";112;294,00;1;
-900;101;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";20110;"Coordinate";101;294,00;1;
-900;102;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";20220;"Coordinate";95;294,00;1;
-900;103;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";20330;"Coordinate";90;288,00;1;
-900;104;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";20440;"Coordinate";78;283,00;1;
-900;105;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";20780;"Coordinate";78;277,00;1;
-900;106;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";20890;"Coordinate";76;272,00;1;
-900;107;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";21000;"Coordinate";73;277,00;1;
-900;108;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";21110;"Coordinate";64;277,00;1;
-900;109;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";21230;"Coordinate";73;272,00;1;
-900;110;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";21450;"Coordinate";62;272,00;1;
-900;111;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";21560;"Coordinate";64;272,00;1;
-900;112;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";21670;"Coordinate";70;277,00;1;
-900;113;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";21790;"Coordinate";70;272,00;1;
-900;114;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";21900;"Coordinate";64;272,00;1;
-900;115;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";22230;"Coordinate";73;277,00;1;
-900;116;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";22350;"Coordinate";84;272,00;1;
-900;117;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";22460;"Coordinate";90;272,00;1;
-900;118;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";22570;"Coordinate";115;274,00;1;
-900;119;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";22680;"Coordinate";78;266,00;1;
-900;120;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";22790;"Coordinate";109;280,00;1;
-900;121;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";22910;"Coordinate";42;255,00;1;
-900;122;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";23020;"Coordinate";118;260,00;1;
-900;123;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";23130;"Coordinate";95;260,00;1;
-900;124;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";23240;"Coordinate";104;280,00;1;
-900;125;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";23350;"Coordinate";70;260,00;1;
-900;126;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";23470;"Coordinate";67;252,00;1;
-900;127;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";23580;"Coordinate";62;260,00;1;
-900;128;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";23800;"Coordinate";62;252,00;1;
-900;129;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";23910;"Coordinate";62;260,00;1;
-900;130;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";24030;"Coordinate";62;252,00;1;
-900;131;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";24140;"Coordinate";59;252,00;1;
-900;132;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";24250;"Coordinate";59;266,00;1;
-900;133;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";24360;"Coordinate";59;258,00;1;
-900;134;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";24470;"Coordinate";59;260,00;1;
-900;135;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";24590;"Coordinate";62;255,00;1;
-900;136;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";24700;"Coordinate";59;258,00;1;
-900;137;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";24810;"Coordinate";67;258,00;1;
-900;138;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";24920;"Coordinate";67;246,00;1;
-900;139;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";25030;"Coordinate";67;258,00;1;
-900;140;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";25480;"Coordinate";78;255,00;1;
-900;141;4;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:42:22";"Da";25590;"Coordinate";70;246,00;1;
