-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;7;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"17:43:32";"Da";0;"AnimPos";1;0,00;0;
-900;2;7;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"17:43:32";"Da";0;"Door Open";0;0,00;0;
-900;3;7;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"17:43:32";"Da";0;"Coordinate";148;288,00;1;
-900;4;7;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"17:43:32";"Da";410;"Coordinate";154;288,00;1;
-900;5;7;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"17:43:32";"Da";520;"Coordinate";148;288,00;1;
-900;6;7;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"17:43:32";"Da";860;"Coordinate";154;288,00;1;
-900;7;7;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"17:43:32";"Da";1530;"Coordinate";148;288,00;1;
-900;8;7;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"17:43:32";"Da";1980;"Coordinate";154;288,00;1;
-900;9;7;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"17:43:32";"Da";2650;"Coordinate";148;288,00;1;
-900;10;7;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"17:43:32";"Da";2870;"Coordinate";154;288,00;1;
-900;11;7;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"17:43:32";"Da";2990;"Coordinate";148;288,00;1;
-900;12;7;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"17:43:32";"Da";3210;"Coordinate";154;288,00;1;
-900;13;7;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"17:43:32";"Da";3320;"Coordinate";148;288,00;1;
-900;14;7;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"17:43:32";"Da";3770;"Coordinate";154;288,00;1;
