-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";0;"AnimPos";1;0,00;0;
-900;2;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";0;"Door Open";0;0,00;0;
-900;3;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";370;"Coordinate";126;277,00;1;
-900;4;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";480;"Coordinate";118;277,00;1;
-900;5;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";700;"Coordinate";112;277,00;1;
-900;6;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";810;"Coordinate";112;286,00;1;
-900;7;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";930;"Coordinate";104;286,00;1;
-900;8;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";1150;"Coordinate";104;291,00;1;
-900;9;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";1260;"Coordinate";98;291,00;1;
-900;10;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";1600;"Coordinate";90;291,00;1;
-900;11;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";1930;"Coordinate";84;291,00;1;
-900;12;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";2050;"Coordinate";76;286,00;1;
-900;13;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";2160;"Coordinate";76;280,00;1;
-900;14;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";2380;"Coordinate";67;286,00;1;
-900;15;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";2490;"Coordinate";67;291,00;1;
-900;16;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";2720;"Coordinate";62;300,00;1;
-900;17;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";2830;"Coordinate";56;305,00;1;
-900;18;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";3500;"Coordinate";67;300,00;1;
-900;19;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";3610;"Coordinate";59;291,00;1;
-900;20;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";3730;"Coordinate";70;291,00;1;
-900;21;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";4060;"Coordinate";76;286,00;1;
-900;22;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";4400;"Coordinate";76;277,00;1;
-900;23;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";4620;"Coordinate";67;277,00;1;
-900;24;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";4730;"Coordinate";59;277,00;1;
-900;25;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";4960;"Coordinate";59;274,00;1;
-900;26;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";5070;"Coordinate";76;266,00;1;
-900;27;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";5180;"Coordinate";84;258,00;1;
-900;28;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";5290;"Coordinate";76;258,00;1;
-900;29;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";6190;"Coordinate";76;266,00;1;
-900;30;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";6300;"Coordinate";84;266,00;1;
-900;31;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";6410;"Coordinate";59;263,00;1;
-900;32;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";6530;"Coordinate";48;260,00;1;
-900;33;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";6640;"Coordinate";56;255,00;1;
-900;34;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";7090;"Coordinate";56;249,00;1;
-900;35;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";7200;"Coordinate";56;244,00;1;
-900;36;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";7310;"Coordinate";42;244,00;1;
-900;37;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";7420;"Coordinate";34;238,00;1;
-900;38;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";7650;"Coordinate";28;238,00;1;
-900;39;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";7760;"Coordinate";28;232,00;1;
-900;40;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";8320;"Coordinate";28;238,00;1;
-900;41;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";8540;"Coordinate";28;232,00;1;
-900;42;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";9440;"Coordinate";28;227,00;1;
-900;43;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";9550;"Coordinate";28;221,00;1;
-900;44;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";9660;"Coordinate";28;216,00;1;
-900;45;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";10000;"Coordinate";28;210,00;1;
-900;46;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";10110;"Coordinate";28;202,00;1;
-900;47;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";10220;"Coordinate";28;196,00;1;
-900;48;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";10330;"Coordinate";28;202,00;1;
-900;49;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";10450;"Coordinate";34;185,00;1;
-900;50;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";10560;"Coordinate";28;179,00;1;
-900;51;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";10670;"Coordinate";28;185,00;1;
-900;52;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";10780;"Coordinate";36;185,00;1;
-900;53;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";10890;"Coordinate";36;179,00;1;
-900;54;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";11010;"Coordinate";28;174,00;1;
-900;55;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";11230;"Coordinate";28;165,00;1;
-900;56;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";11570;"Coordinate";36;154,00;1;
-900;57;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";11790;"Coordinate";36;148,00;1;
-900;58;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";12010;"Coordinate";36;137,00;1;
-900;59;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";12240;"Coordinate";36;132,00;1;
-900;60;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";12570;"Coordinate";36;118,00;1;
-900;61;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";12800;"Coordinate";45;132,00;1;
-900;62;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";13020;"Coordinate";45;118,00;1;
-900;63;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";14590;"Coordinate";53;118,00;1;
-900;64;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";14700;"Coordinate";42;118,00;1;
-900;65;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";14810;"Coordinate";42;123,00;1;
-900;66;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";14930;"Coordinate";50;132,00;1;
-900;67;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";15370;"Coordinate";59;137,00;1;
-900;68;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";15930;"Coordinate";59;132,00;1;
-900;69;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";16380;"Coordinate";50;132,00;1;
-900;70;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";16490;"Coordinate";42;132,00;1;
-900;71;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";16610;"Coordinate";42;118,00;1;
-900;72;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";16720;"Coordinate";36;137,00;1;
-900;73;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";17170;"Coordinate";45;137,00;1;
-900;74;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";17610;"Coordinate";36;137,00;1;
-900;75;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";17840;"Coordinate";45;137,00;1;
-900;76;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";17950;"Coordinate";45;146,00;1;
-900;77;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";18060;"Coordinate";50;146,00;1;
-900;78;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";18170;"Coordinate";50;132,00;1;
-900;79;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";18400;"Coordinate";59;132,00;1;
-900;80;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";18730;"Coordinate";50;132,00;1;
-900;81;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";19970;"Coordinate";59;132,00;1;
-900;82;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";20080;"Coordinate";50;137,00;1;
-900;83;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";20190;"Coordinate";50;146,00;1;
-900;84;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";20300;"Coordinate";59;146,00;1;
-900;85;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";20530;"Coordinate";59;151,00;1;
-900;86;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";20640;"Coordinate";64;151,00;1;
-900;87;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";20750;"Coordinate";73;148,00;1;
-900;88;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";20860;"Coordinate";73;151,00;1;
-900;89;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";20970;"Coordinate";67;160,00;1;
-900;90;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";21200;"Coordinate";64;160,00;1;
-900;91;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";21310;"Coordinate";73;154,00;1;
-900;92;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";21420;"Coordinate";81;154,00;1;
-900;93;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";21530;"Coordinate";81;162,00;1;
-900;94;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";21650;"Coordinate";81;165,00;1;
-900;95;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";21760;"Coordinate";73;171,00;1;
-900;96;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";21870;"Coordinate";73;165,00;1;
-900;97;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";21980;"Coordinate";81;162,00;1;
-900;98;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";22090;"Coordinate";90;162,00;1;
-900;99;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";22430;"Coordinate";81;162,00;1;
-900;100;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";22540;"Coordinate";90;162,00;1;
-900;101;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";22650;"Coordinate";81;154,00;1;
-900;102;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";22880;"Coordinate";90;148,00;1;
-900;103;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";23210;"Coordinate";95;140,00;1;
-900;104;2;1;43;"";"";"";"";"";"";"";"";"";"05/16/2021";"14:15:37";"Da";23440;"Coordinate";104;140,00;1;
