-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";0;"AnimPos";1;0,00;0;
-900;2;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";0;"Door Open";0;0,00;0;
-900;3;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";0;"Coordinate";73;168,00;1;
-900;4;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";6420;"Coordinate";70;168,00;1;
-900;5;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";6530;"Coordinate";73;168,00;1;
-900;6;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";6760;"Coordinate";70;168,00;1;
-900;7;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";7320;"Coordinate";70;174,00;1;
-900;8;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";8440;"Coordinate";70;171,00;1;
-900;9;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";8660;"Coordinate";70;176,00;1;
-900;10;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";8890;"Coordinate";70;182,00;1;
-900;11;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";9110;"Coordinate";70;188,00;1;
-900;12;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";10230;"Coordinate";70;193,00;1;
-900;13;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";10680;"Coordinate";70;196,00;1;
-900;14;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";11130;"Coordinate";70;204,00;1;
-900;15;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";11350;"Coordinate";70;210,00;1;
-900;16;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";11460;"Coordinate";70;204,00;1;
-900;17;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";11690;"Coordinate";70;210,00;1;
-900;18;1;1;44;"";"";"";"";"";"";"";"";"";"05/30/2021";"16:28:57";"Da";12360;"Coordinate";70;216,00;1;
