-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";0;"AnimPos";1;0,00;0;
-900;2;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";0;"Door Open";0;0,00;0;
-900;3;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";0;"Coordinate";81;168,00;1;
-900;4;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";270;"Coordinate";81;174,00;1;
-900;5;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";1280;"Coordinate";81;162,00;1;
-900;6;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";1500;"Coordinate";84;162,00;1;
-900;7;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";1610;"Coordinate";90;168,00;1;
-900;8;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";1720;"Coordinate";95;190,00;1;
-900;9;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";1840;"Coordinate";98;176,00;1;
-900;10;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";1950;"Coordinate";112;168,00;1;
-900;11;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";2060;"Coordinate";104;157,00;1;
-900;12;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";2170;"Coordinate";118;157,00;1;
-900;13;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";2280;"Coordinate";112;143,00;1;
-900;14;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";2400;"Coordinate";118;132,00;1;
-900;15;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";2510;"Coordinate";126;129,00;1;
-900;16;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";2620;"Coordinate";118;120,00;1;
-900;17;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";2730;"Coordinate";126;120,00;1;
-900;18;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";2840;"Coordinate";118;143,00;1;
-900;19;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";2960;"Coordinate";118;154,00;1;
-900;20;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";3070;"Coordinate";112;146,00;1;
-900;21;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";3180;"Coordinate";118;143,00;1;
-900;22;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";3290;"Coordinate";118;146,00;1;
-900;23;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";3400;"Coordinate";118;154,00;1;
-900;24;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";3520;"Coordinate";118;146,00;1;
-900;25;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";3740;"Coordinate";109;154,00;1;
-900;26;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";3850;"Coordinate";126;115,00;1;
-900;27;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";3960;"Coordinate";115;134,00;1;
-900;28;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";4080;"Coordinate";126;112,00;1;
-900;29;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";4190;"Coordinate";126;120,00;1;
-900;30;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";4300;"Coordinate";134;112,00;1;
-900;31;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";4410;"Coordinate";126;101,00;1;
-900;32;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";4520;"Coordinate";140;101,00;1;
-900;33;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";4750;"Coordinate";140;123,00;1;
-900;34;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";4860;"Coordinate";129;112,00;1;
-900;35;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";4970;"Coordinate";140;112,00;1;
-900;36;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";5080;"Coordinate";132;112,00;1;
-900;37;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";5200;"Coordinate";132;120,00;1;
-900;38;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";5310;"Coordinate";126;120,00;1;
-900;39;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";5420;"Coordinate";126;140,00;1;
-900;40;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";5530;"Coordinate";140;129,00;1;
-900;41;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";5640;"Coordinate";126;140,00;1;
-900;42;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";5980;"Coordinate";132;140,00;1;
-900;43;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";6090;"Coordinate";132;174,00;1;
-900;44;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";6200;"Coordinate";109;188,00;1;
-900;45;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";6320;"Coordinate";123;151,00;1;
-900;46;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";6430;"Coordinate";132;140,00;1;
-900;47;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";6540;"Coordinate";140;165,00;1;
-900;48;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";6650;"Coordinate";132;168,00;1;
-900;49;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";6760;"Coordinate";123;174,00;1;
-900;50;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";6880;"Coordinate";123;179,00;1;
-900;51;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";6990;"Coordinate";140;174,00;1;
-900;52;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";7100;"Coordinate";140;165,00;1;
-900;53;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";7210;"Coordinate";140;168,00;1;
-900;54;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";7320;"Coordinate";132;174,00;1;
-900;55;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";7440;"Coordinate";146;140,00;1;
-900;56;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";7550;"Coordinate";157;140,00;1;
-900;57;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";7660;"Coordinate";148;140,00;1;
-900;58;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";7770;"Coordinate";157;140,00;1;
-900;59;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";8670;"Coordinate";148;129,00;1;
-900;60;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";9000;"Coordinate";157;129,00;1;
-900;61;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";9450;"Coordinate";157;120,00;1;
-900;62;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";9560;"Coordinate";140;154,00;1;
-900;63;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";9680;"Coordinate";146;146,00;1;
-900;64;4;2;44;"";"";"";"";"";"";"";"";"";"05/31/2021";"16:15:55";"Da";9790;"Coordinate";134;137,00;1;
