-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";0;"AnimPos";1;0,00;0;
-900;2;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";0;"Door Open";0;0,00;0;
-900;3;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";0;"Coordinate";126;196,00;1;
-900;4;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";1560;"Coordinate";118;196,00;1;
-900;5;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";2460;"Coordinate";112;196,00;1;
-900;6;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";3130;"Coordinate";118;196,00;1;
-900;7;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";4020;"Coordinate";112;196,00;1;
-900;8;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";4140;"Coordinate";104;196,00;1;
-900;9;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";4920;"Coordinate";126;185,00;1;
-900;10;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";5030;"Coordinate";118;185,00;1;
-900;11;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";5480;"Coordinate";118;179,00;1;
-900;12;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";5700;"Coordinate";118;185,00;1;
-900;13;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";5820;"Coordinate";112;179,00;1;
-900;14;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";6150;"Coordinate";104;179,00;1;
-900;15;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";6260;"Coordinate";98;179,00;1;
-900;16;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";6380;"Coordinate";123;190,00;1;
-900;17;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";6490;"Coordinate";90;190,00;1;
-900;18;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";6600;"Coordinate";98;190,00;1;
-900;19;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";6710;"Coordinate";104;185,00;1;
-900;20;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";6940;"Coordinate";120;190,00;1;
-900;21;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";7050;"Coordinate";115;185,00;1;
-900;22;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";7160;"Coordinate";101;179,00;1;
-900;23;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";7270;"Coordinate";98;185,00;1;
-900;24;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";7380;"Coordinate";95;185,00;1;
-900;25;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";7500;"Coordinate";84;185,00;1;
-900;26;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";7610;"Coordinate";87;185,00;1;
-900;27;2;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:16:18";"Da";7830;"Coordinate";84;185,00;1;
