-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";0;"AnimPos";1;0,00;0;
-900;2;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";0;"Door Open";0;0,00;0;
-900;3;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";0;"Coordinate";140;269,00;1;
-900;4;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";240;"Coordinate";134;269,00;1;
-900;5;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";460;"Coordinate";140;283,00;1;
-900;6;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";570;"Coordinate";140;294,00;1;
-900;7;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";1360;"Coordinate";148;288,00;1;
-900;8;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";1470;"Coordinate";140;288,00;1;
-900;9;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";1580;"Coordinate";126;283,00;1;
-900;10;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";1690;"Coordinate";118;269,00;1;
-900;11;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";1810;"Coordinate";104;263,00;1;
-900;12;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";1920;"Coordinate";104;260,00;1;
-900;13;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";2030;"Coordinate";90;260,00;1;
-900;14;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";2140;"Coordinate";84;255,00;1;
-900;15;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";2370;"Coordinate";76;252,00;1;
-900;16;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";2590;"Coordinate";84;241,00;1;
-900;17;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";2700;"Coordinate";76;230,00;1;
-900;18;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";2810;"Coordinate";76;232,00;1;
-900;19;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";2930;"Coordinate";48;227,00;1;
-900;20;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";3040;"Coordinate";42;221,00;1;
-900;21;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";3150;"Coordinate";42;227,00;1;
-900;22;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";3370;"Coordinate";62;227,00;1;
-900;23;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";3490;"Coordinate";48;227,00;1;
-900;24;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";3600;"Coordinate";56;227,00;1;
-900;25;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";3710;"Coordinate";62;221,00;1;
-900;26;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";3820;"Coordinate";62;216,00;1;
-900;27;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";3930;"Coordinate";56;202,00;1;
-900;28;5;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"14:56:05";"Da";4160;"Coordinate";56;196,00;1;
