-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";0;"AnimPos";1;0,00;0;
-900;2;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";0;"Door Open";0;0,00;0;
-900;3;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";0;"Coordinate";62;162,00;1;
-900;4;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";20;"Coordinate";64;168,00;1;
-900;5;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";130;"Coordinate";70;168,00;1;
-900;6;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";360;"Coordinate";70;162,00;1;
-900;7;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";470;"Coordinate";56;143,00;1;
-900;8;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";580;"Coordinate";48;143,00;1;
-900;9;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";690;"Coordinate";59;137,00;1;
-900;10;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";810;"Coordinate";56;137,00;1;
-900;11;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";1030;"Coordinate";48;123,00;1;
-900;12;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";1250;"Coordinate";48;118,00;1;
-900;13;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";1590;"Coordinate";48;132,00;1;
-900;14;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";1700;"Coordinate";48;137,00;1;
-900;15;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";1810;"Coordinate";50;137,00;1;
-900;16;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";1930;"Coordinate";59;146,00;1;
-900;17;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";2040;"Coordinate";59;140,00;1;
-900;18;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";2150;"Coordinate";70;146,00;1;
-900;19;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";2260;"Coordinate";70;151,00;1;
-900;20;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";2370;"Coordinate";59;160,00;1;
-900;21;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";2490;"Coordinate";59;165,00;1;
-900;22;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";2600;"Coordinate";76;179,00;1;
-900;23;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";2820;"Coordinate";70;179,00;1;
-900;24;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";2930;"Coordinate";76;179,00;1;
-900;25;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";3720;"Coordinate";70;179,00;1;
-900;26;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";4170;"Coordinate";76;179,00;1;
-900;27;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";4840;"Coordinate";67;179,00;1;
-900;28;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";4950;"Coordinate";56;171,00;1;
-900;29;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";5060;"Coordinate";59;171,00;1;
-900;30;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";5170;"Coordinate";59;176,00;1;
-900;31;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";5290;"Coordinate";59;182,00;1;
-900;32;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";5400;"Coordinate";59;185,00;1;
-900;33;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";5510;"Coordinate";59;193,00;1;
-900;34;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";5620;"Coordinate";59;196,00;1;
-900;35;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";5960;"Coordinate";59;202,00;1;
-900;36;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";6070;"Coordinate";59;210,00;1;
-900;37;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";6180;"Coordinate";42;216,00;1;
-900;38;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";6290;"Coordinate";36;216,00;1;
-900;39;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";6410;"Coordinate";36;221,00;1;
-900;40;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";6520;"Coordinate";36;227,00;1;
-900;41;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";6630;"Coordinate";36;232,00;1;
-900;42;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";6740;"Coordinate";36;238,00;1;
-900;43;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";6850;"Coordinate";45;238,00;1;
-900;44;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";7080;"Coordinate";53;238,00;1;
-900;45;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";7300;"Coordinate";59;244,00;1;
-900;46;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";7530;"Coordinate";67;249,00;1;
-900;47;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";7640;"Coordinate";67;221,00;1;
-900;48;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";7750;"Coordinate";73;230,00;1;
-900;49;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";7860;"Coordinate";73;244,00;1;
-900;50;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";7970;"Coordinate";59;244,00;1;
-900;51;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";8090;"Coordinate";59;255,00;1;
-900;52;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";8200;"Coordinate";59;238,00;1;
-900;53;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";8420;"Coordinate";64;238,00;1;
-900;54;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";8650;"Coordinate";73;249,00;1;
-900;55;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";8760;"Coordinate";73;235,00;1;
-900;56;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";8870;"Coordinate";73;238,00;1;
-900;57;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";8980;"Coordinate";81;241,00;1;
-900;58;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";9090;"Coordinate";81;252,00;1;
-900;59;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";9210;"Coordinate";90;252,00;1;
-900;60;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";9320;"Coordinate";95;241,00;1;
-900;61;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";9430;"Coordinate";95;252,00;1;
-900;62;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";9540;"Coordinate";95;241,00;1;
-900;63;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";9650;"Coordinate";104;263,00;1;
-900;64;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";9770;"Coordinate";112;263,00;1;
-900;65;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";9990;"Coordinate";118;263,00;1;
-900;66;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";10210;"Coordinate";126;263,00;1;
-900;67;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";10330;"Coordinate";126;255,00;1;
-900;68;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";11330;"Coordinate";132;255,00;1;
-900;69;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";11560;"Coordinate";132;244,00;1;
-900;70;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";11670;"Coordinate";120;252,00;1;
-900;71;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";11780;"Coordinate";132;252,00;1;
-900;72;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";11890;"Coordinate";132;249,00;1;
-900;73;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";12680;"Coordinate";132;252,00;1;
-900;74;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";12900;"Coordinate";132;255,00;1;
-900;75;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";13010;"Coordinate";140;255,00;1;
-900;76;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";13350;"Coordinate";148;255,00;1;
-900;77;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";13570;"Coordinate";162;255,00;1;
-900;78;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";13800;"Coordinate";171;258,00;1;
-900;79;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";13910;"Coordinate";171;266,00;1;
-900;80;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";14020;"Coordinate";179;266,00;1;
-900;81;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";14360;"Coordinate";185;266,00;1;
-900;82;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";14470;"Coordinate";193;277,00;1;
-900;83;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";14580;"Coordinate";202;277,00;1;
-900;84;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";14580;"Transfer";3;0,00;0;
-900;85;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";14690;"Coordinate";216;286,00;1;
-900;86;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";14810;"Coordinate";232;277,00;1;
-900;87;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";14920;"Coordinate";216;274,00;1;
-900;88;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";15030;"Coordinate";224;283,00;1;
-900;89;8;3;44;"";"";"";"";"";"";"";"";"";"06/01/2021";"16:19:05";"Da";15140;"Coordinate";224;286,00;1;
