-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";0;"AnimPos";1;0,00;0;
-900;2;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";0;"Door Open";0;0,00;0;
-900;3;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";0;"Coordinate";112;316,00;1;
-900;4;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";50;"Coordinate";112;311,00;1;
-900;5;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";270;"Coordinate";120;308,00;1;
-900;6;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";380;"Coordinate";115;308,00;1;
-900;7;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";500;"Coordinate";115;302,00;1;
-900;8;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";610;"Coordinate";115;300,00;1;
-900;9;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";940;"Coordinate";115;297,00;1;
-900;10;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";1840;"Coordinate";115;302,00;1;
-900;11;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";1950;"Coordinate";120;308,00;1;
-900;12;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";2400;"Coordinate";129;302,00;1;
-900;13;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";2620;"Coordinate";129;297,00;1;
-900;14;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";2740;"Coordinate";134;302,00;1;
-900;15;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";3070;"Coordinate";140;300,00;1;
-900;16;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";3520;"Coordinate";140;302,00;1;
-900;17;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";3860;"Coordinate";148;302,00;1;
-900;18;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";3970;"Coordinate";140;302,00;1;
-900;19;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";4420;"Coordinate";134;300,00;1;
-900;20;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";4530;"Coordinate";134;291,00;1;
-900;21;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";4640;"Coordinate";134;300,00;1;
-900;22;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";4750;"Coordinate";134;294,00;1;
-900;23;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";4860;"Coordinate";129;294,00;1;
-900;24;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";4980;"Coordinate";129;302,00;1;
-900;25;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";5090;"Coordinate";137;302,00;1;
-900;26;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";5200;"Coordinate";137;294,00;1;
-900;27;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";5310;"Coordinate";129;294,00;1;
-900;28;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";5420;"Coordinate";129;300,00;1;
-900;29;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";5540;"Coordinate";120;302,00;1;
-900;30;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";5980;"Coordinate";115;302,00;1;
-900;31;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";6100;"Coordinate";106;302,00;1;
-900;32;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";6210;"Coordinate";98;297,00;1;
-900;33;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";6430;"Coordinate";95;291,00;1;
-900;34;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";6660;"Coordinate";87;280,00;1;
-900;35;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";6770;"Coordinate";81;280,00;1;
-900;36;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";6880;"Coordinate";81;286,00;1;
-900;37;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";7220;"Coordinate";73;286,00;1;
-900;38;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";7330;"Coordinate";78;286,00;1;
-900;39;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";8220;"Coordinate";78;280,00;1;
-900;40;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";8560;"Coordinate";95;286,00;1;
-900;41;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";9570;"Coordinate";95;288,00;1;
-900;42;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";11140;"Coordinate";95;286,00;1;
-900;43;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";11470;"Coordinate";95;274,00;1;
-900;44;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";11580;"Coordinate";95;280,00;1;
-900;45;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";12030;"Coordinate";90;280,00;1;
-900;46;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";12590;"Coordinate";84;274,00;1;
-900;47;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";12700;"Coordinate";92;269,00;1;
-900;48;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";12820;"Coordinate";84;269,00;1;
-900;49;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";12930;"Coordinate";84;272,00;1;
-900;50;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";13040;"Coordinate";84;269,00;1;
-900;51;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";13150;"Coordinate";81;272,00;1;
-900;52;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";13260;"Coordinate";81;266,00;1;
-900;53;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";13380;"Coordinate";81;260,00;1;
-900;54;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";13600;"Coordinate";81;266,00;1;
-900;55;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";13710;"Coordinate";84;266,00;1;
-900;56;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";13940;"Coordinate";90;260,00;1;
-900;57;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";14160;"Coordinate";90;255,00;1;
-900;58;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";14830;"Coordinate";84;252,00;1;
-900;59;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";14940;"Coordinate";81;252,00;1;
-900;60;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";15060;"Coordinate";81;244,00;1;
-900;61;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";15950;"Coordinate";81;238,00;1;
-900;62;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";16060;"Coordinate";81;244,00;1;
-900;63;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";17180;"Coordinate";73;238,00;1;
-900;64;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";17300;"Coordinate";81;244,00;1;
-900;65;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";17520;"Coordinate";81;238,00;1;
-900;66;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";17630;"Coordinate";81;244,00;1;
-900;67;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";17860;"Coordinate";81;249,00;1;
-900;68;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";18640;"Coordinate";73;249,00;1;
-900;69;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";18750;"Coordinate";70;249,00;1;
-900;70;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";18860;"Coordinate";73;249,00;1;
-900;71;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";18980;"Coordinate";64;249,00;1;
-900;72;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";19090;"Coordinate";73;249,00;1;
-900;73;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";19540;"Coordinate";73;255,00;1;
-900;74;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";19760;"Coordinate";64;255,00;1;
-900;75;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";19870;"Coordinate";70;255,00;1;
-900;76;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";19980;"Coordinate";84;255,00;1;
-900;77;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";21440;"Coordinate";81;249,00;1;
-900;78;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";21550;"Coordinate";81;238,00;1;
-900;79;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";21890;"Coordinate";81;249,00;1;
-900;80;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";22000;"Coordinate";90;249,00;1;
-900;81;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";22110;"Coordinate";81;244,00;1;
-900;82;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";22220;"Coordinate";81;227,00;1;
-900;83;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";22340;"Coordinate";81;232,00;1;
-900;84;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";22450;"Coordinate";81;221,00;1;
-900;85;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";22780;"Coordinate";78;210,00;1;
-900;86;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";22900;"Coordinate";78;202,00;1;
-900;87;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";23120;"Coordinate";78;196,00;1;
-900;88;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";23230;"Coordinate";78;202,00;1;
-900;89;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";23460;"Coordinate";81;196,00;1;
-900;90;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";23570;"Coordinate";84;190,00;1;
-900;91;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";23680;"Coordinate";90;190,00;1;
-900;92;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";23900;"Coordinate";92;190,00;1;
-900;93;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";24020;"Coordinate";90;190,00;1;
-900;94;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";24580;"Coordinate";90;196,00;1;
-900;95;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";25020;"Coordinate";92;190,00;1;
-900;96;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";25140;"Coordinate";90;196,00;1;
-900;97;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";25250;"Coordinate";92;196,00;1;
-900;98;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";25810;"Coordinate";92;185,00;1;
-900;99;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";25920;"Coordinate";92;179,00;1;
-900;100;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";26140;"Coordinate";92;174,00;1;
-900;101;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";26260;"Coordinate";84;174,00;1;
-900;102;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";26370;"Coordinate";84;162,00;1;
-900;103;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";26480;"Coordinate";84;157,00;1;
-900;104;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";26590;"Coordinate";84;148,00;1;
-900;105;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";26700;"Coordinate";98;148,00;1;
-900;106;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";26820;"Coordinate";98;146,00;1;
-900;107;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";26930;"Coordinate";109;140,00;1;
-900;108;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";27040;"Coordinate";115;140,00;1;
-900;109;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";27150;"Coordinate";115;132,00;1;
-900;110;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";27260;"Coordinate";120;118,00;1;
-900;111;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";27380;"Coordinate";126;112,00;1;
-900;112;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";27490;"Coordinate";126;106,00;1;
-900;113;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";27710;"Coordinate";126;115,00;1;
-900;114;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";27820;"Coordinate";132;123,00;1;
-900;115;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";28050;"Coordinate";126;120,00;1;
-900;116;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";28270;"Coordinate";126;118,00;1;
-900;117;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";28380;"Coordinate";129;129,00;1;
-900;118;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";28500;"Coordinate";134;129,00;1;
-900;119;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";28610;"Coordinate";126;129,00;1;
-900;120;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";28830;"Coordinate";129;129,00;1;
-900;121;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";29730;"Coordinate";129;118,00;1;
-900;122;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";29840;"Coordinate";134;129,00;1;
-900;123;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";29950;"Coordinate";134;118,00;1;
-900;124;1;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:41:56";"Da";30060;"Coordinate";140;98,00;1;
