-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";0;"AnimPos";1;0,00;0;
-900;2;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";0;"Door Open";0;0,00;0;
-900;3;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";6260;"Coordinate";84;319,00;1;
-900;4;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";6370;"Coordinate";84;322,00;1;
-900;5;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";6930;"Coordinate";84;319,00;1;
-900;6;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";7040;"Coordinate";84;322,00;1;
-900;7;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";8610;"Coordinate";84;319,00;1;
-900;8;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";8830;"Coordinate";84;322,00;1;
-900;9;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";9170;"Coordinate";73;322,00;1;
-900;10;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";9280;"Coordinate";84;322,00;1;
-900;11;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";9390;"Coordinate";73;322,00;1;
-900;12;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";10400;"Coordinate";73;328,00;1;
-900;13;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";10740;"Coordinate";73;330,00;1;
-900;14;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";11970;"Coordinate";67;330,00;1;
-900;15;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";12080;"Coordinate";67;322,00;1;
-900;16;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";12750;"Coordinate";76;322,00;1;
-900;17;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";14100;"Coordinate";76;319,00;1;
-900;18;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";14770;"Coordinate";76;322,00;1;
-900;19;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";15440;"Coordinate";67;322,00;1;
-900;20;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";15550;"Coordinate";76;322,00;1;
-900;21;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";15670;"Coordinate";67;322,00;1;
-900;22;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";16450;"Coordinate";67;328,00;1;
-900;23;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";17120;"Coordinate";67;322,00;1;
-900;24;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";18020;"Coordinate";59;322,00;1;
-900;25;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";18130;"Coordinate";67;322,00;1;
-900;26;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";18470;"Coordinate";59;319,00;1;
-900;27;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";18580;"Coordinate";67;319,00;1;
-900;28;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";18690;"Coordinate";67;322,00;1;
-900;29;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";18910;"Coordinate";67;328,00;1;
-900;30;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";19250;"Coordinate";76;328,00;1;
-900;31;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";19360;"Coordinate";67;328,00;1;
-900;32;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";20030;"Coordinate";76;328,00;1;
-900;33;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";21490;"Coordinate";76;322,00;1;
-900;34;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";22050;"Coordinate";76;328,00;1;
-900;35;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";23950;"Coordinate";76;322,00;1;
-900;36;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";24290;"Coordinate";67;322,00;1;
-900;37;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";24740;"Coordinate";67;328,00;1;
-900;38;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";24960;"Coordinate";67;330,00;1;
-900;39;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";25410;"Coordinate";67;328,00;1;
-900;40;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";25630;"Coordinate";67;330,00;1;
-900;41;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";26640;"Coordinate";67;328,00;1;
-900;42;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";26750;"Coordinate";67;330,00;1;
-900;43;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";27430;"Coordinate";76;330,00;1;
-900;44;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";27540;"Coordinate";67;330,00;1;
-900;45;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";32910;"Coordinate";67;328,00;1;
-900;46;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";33360;"Coordinate";67;330,00;1;
-900;47;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";34820;"Coordinate";67;328,00;1;
-900;48;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";37060;"Coordinate";67;322,00;1;
-900;49;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";42100;"Coordinate";67;328,00;1;
-900;50;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";43330;"Coordinate";67;330,00;1;
-900;51;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";44230;"Coordinate";67;328,00;1;
-900;52;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";44340;"Coordinate";67;322,00;1;
-900;53;2;3;43;"";"";"";"";"";"";"";"";"";"05/18/2021";"13:44:54";"Da";44450;"Coordinate";67;328,00;1;
