-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";0;"AnimPos";1;0,00;0;
-900;2;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";0;"Door Open";0;0,00;0;
-900;3;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";0;"Coordinate";140;328,00;1;
-900;4;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";690;"Coordinate";140;330,00;1;
-900;5;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";2490;"Coordinate";148;330,00;1;
-900;6;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";2820;"Coordinate";140;330,00;1;
-900;7;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";2930;"Coordinate";148;330,00;1;
-900;8;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";3050;"Coordinate";140;330,00;1;
-900;9;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";3160;"Coordinate";148;330,00;1;
-900;10;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";3380;"Coordinate";154;330,00;1;
-900;11;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";3830;"Coordinate";148;330,00;1;
-900;12;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";4170;"Coordinate";154;330,00;1;
-900;13;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";5960;"Coordinate";140;328,00;1;
-900;14;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";6180;"Coordinate";132;328,00;1;
-900;15;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";6410;"Coordinate";126;322,00;1;
-900;16;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";6630;"Coordinate";118;322,00;1;
-900;17;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";6740;"Coordinate";118;319,00;1;
-900;18;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";6970;"Coordinate";112;319,00;1;
-900;19;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";7410;"Coordinate";118;319,00;1;
-900;20;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";7750;"Coordinate";118;316,00;1;
-900;21;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";7860;"Coordinate";118;311,00;1;
-900;22;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";8090;"Coordinate";112;311,00;1;
-900;23;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";8310;"Coordinate";118;311,00;1;
-900;24;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";8420;"Coordinate";95;311,00;1;
-900;25;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";8530;"Coordinate";118;311,00;1;
-900;26;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";8650;"Coordinate";118;305,00;1;
-900;27;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";8760;"Coordinate";112;305,00;1;
-900;28;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";8870;"Coordinate";104;300,00;1;
-900;29;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";8980;"Coordinate";112;311,00;1;
-900;30;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";9090;"Coordinate";104;311,00;1;
-900;31;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";9210;"Coordinate";104;316,00;1;
-900;32;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";9320;"Coordinate";98;316,00;1;
-900;33;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";9430;"Coordinate";98;308,00;1;
-900;34;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";9540;"Coordinate";90;308,00;1;
-900;35;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";9770;"Coordinate";84;319,00;1;
-900;36;3;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:54:08";"Da";9880;"Coordinate";84;297,00;1;
