-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";0;"AnimPos";1;0,00;0;
-900;2;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";0;"Door Open";0;0,00;0;
-900;3;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";0;"Coordinate";132;106,00;1;
-900;4;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";40;"Coordinate";126;118,00;1;
-900;5;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";150;"Coordinate";120;129,00;1;
-900;6;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";380;"Coordinate";126;129,00;1;
-900;7;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";1720;"Coordinate";129;129,00;1;
-900;8;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";2500;"Coordinate";126;129,00;1;
-900;9;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";2840;"Coordinate";118;129,00;1;
-900;10;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";2950;"Coordinate";120;129,00;1;
-900;11;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";3290;"Coordinate";118;129,00;1;
-900;12;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";3400;"Coordinate";126;129,00;1;
-900;13;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";6420;"Coordinate";132;118,00;1;
-900;14;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";6760;"Coordinate";132;106,00;1;
-900;15;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";7540;"Coordinate";140;106,00;1;
-900;16;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";7880;"Coordinate";148;95,00;1;
-900;17;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";7990;"Coordinate";148;106,00;1;
-900;18;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";8100;"Coordinate";140;106,00;1;
-900;19;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";8220;"Coordinate";148;106,00;1;
-900;20;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";8450;"Coordinate";148;95,00;1;
-900;21;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";8550;"Coordinate";154;106,00;1;
-900;22;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";8780;"Coordinate";154;95,00;1;
-900;23;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";9000;"Coordinate";140;106,00;1;
-900;24;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";9110;"Coordinate";132;106,00;1;
-900;25;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";9220;"Coordinate";132;118,00;1;
-900;26;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";9560;"Coordinate";120;126,00;1;
-900;27;4;4;44;"";"";"";"";"";"";"";"";"";"06/02/2021";"11:48:59";"Da";9670;"Coordinate";123;126,00;1;
