-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;3;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:52:11";"Da";0;"AnimPos";2;0,00;0;
-900;2;3;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:52:11";"Da";0;"Door Open";0;0,00;0;
-900;3;3;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:52:11";"Da";0;"Coordinate";185;101,00;1;
-900;4;3;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:52:11";"Da";510;"Coordinate";193;101,00;1;
-900;5;3;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:52:11";"Da";620;"Coordinate";185;101,00;1;
-900;6;3;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:52:11";"Da";1410;"Coordinate";193;101,00;1;
-900;7;3;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:52:11";"Da";2190;"Coordinate";193;92,00;1;
-900;8;3;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:52:11";"Da";2300;"Coordinate";185;92,00;1;
-900;9;3;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:52:11";"Da";2860;"Coordinate";185;95,00;1;
-900;10;3;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:52:11";"Da";2970;"Coordinate";176;95,00;1;
-900;11;3;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:52:11";"Da";3090;"Coordinate";168;98,00;1;
-900;12;3;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:52:11";"Da";3090;"Transfer";1;0,00;0;
-900;13;3;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:52:11";"Da";3200;"Coordinate";168;101,00;1;
-900;14;3;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:52:11";"Da";3310;"Coordinate";160;101,00;1;
-900;15;3;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:52:11";"Da";3760;"Coordinate";160;98,00;1;
