-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";0;"AnimPos";1;0,00;0;
-900;2;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";0;"Door Open";0;0,00;0;
-900;3;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";0;"Coordinate";104;210,00;1;
-900;4;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";110;"Coordinate";104;202,00;1;
-900;5;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";220;"Coordinate";112;216,00;1;
-900;6;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";330;"Coordinate";104;216,00;1;
-900;7;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";780;"Coordinate";104;224,00;1;
-900;8;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";1230;"Coordinate";98;224,00;1;
-900;9;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";1670;"Coordinate";98;216,00;1;
-900;10;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";1900;"Coordinate";104;210,00;1;
-900;11;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";2230;"Coordinate";104;221,00;1;
-900;12;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";2350;"Coordinate";109;221,00;1;
-900;13;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";2460;"Coordinate";109;190,00;1;
-900;14;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";2910;"Coordinate";104;190,00;1;
-900;15;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";3020;"Coordinate";104;196,00;1;
-900;16;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";3130;"Coordinate";104;207,00;1;
-900;17;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";3350;"Coordinate";90;210,00;1;
-900;18;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";3580;"Coordinate";90;216,00;1;
-900;19;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";3690;"Coordinate";98;207,00;1;
-900;20;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";3800;"Coordinate";104;216,00;1;
-900;21;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";3910;"Coordinate";84;207,00;1;
-900;22;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";4030;"Coordinate";92;207,00;1;
-900;23;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";4140;"Coordinate";92;210,00;1;
-900;24;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";4250;"Coordinate";98;210,00;1;
-900;25;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";4360;"Coordinate";92;204,00;1;
-900;26;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";4470;"Coordinate";92;216,00;1;
-900;27;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";4810;"Coordinate";87;216,00;1;
-900;28;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";5820;"Coordinate";92;216,00;1;
-900;29;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";7270;"Coordinate";92;210,00;1;
-900;30;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";7500;"Coordinate";78;204,00;1;
-900;31;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";7830;"Coordinate";92;207,00;1;
-900;32;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";7950;"Coordinate";92;196,00;1;
-900;33;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";8280;"Coordinate";87;196,00;1;
-900;34;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";10300;"Coordinate";87;204,00;1;
-900;35;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";10520;"Coordinate";87;210,00;1;
-900;36;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";10630;"Coordinate";87;213,00;1;
-900;37;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";10750;"Coordinate";87;210,00;1;
-900;38;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";10860;"Coordinate";87;213,00;1;
-900;39;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";11080;"Coordinate";81;213,00;1;
-900;40;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";11190;"Coordinate";81;216,00;1;
-900;41;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";11530;"Coordinate";81;213,00;1;
-900;42;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";11870;"Coordinate";81;216,00;1;
-900;43;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";12090;"Coordinate";81;224,00;1;
-900;44;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";12200;"Coordinate";81;230,00;1;
-900;45;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";12310;"Coordinate";87;232,00;1;
-900;46;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";12430;"Coordinate";87;244,00;1;
-900;47;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";12540;"Coordinate";87;246,00;1;
-900;48;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";12650;"Coordinate";87;252,00;1;
-900;49;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";12760;"Coordinate";87;255,00;1;
-900;50;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";12870;"Coordinate";87;258,00;1;
-900;51;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";13100;"Coordinate";87;260,00;1;
-900;52;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";13210;"Coordinate";92;263,00;1;
-900;53;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";13770;"Coordinate";92;266,00;1;
-900;54;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";13880;"Coordinate";98;266,00;1;
-900;55;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";16570;"Coordinate";104;266,00;1;
-900;56;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";17470;"Coordinate";104;269,00;1;
-900;57;1;5;43;"";"";"";"";"";"";"";"";"";"05/20/2021";"14:09:39";"Da";18030;"Coordinate";98;269,00;1;
