-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";0;"AnimPos";1;0,00;0;
-900;2;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";0;"Door Open";0;0,00;0;
-900;3;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";0;"Coordinate";140;134,00;1;
-900;4;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";170;"Coordinate";129;146,00;1;
-900;5;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";500;"Coordinate";140;162,00;1;
-900;6;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";610;"Coordinate";140;154,00;1;
-900;7;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";730;"Coordinate";120;154,00;1;
-900;8;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";840;"Coordinate";126;171,00;1;
-900;9;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";950;"Coordinate";118;160,00;1;
-900;10;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";1060;"Coordinate";109;168,00;1;
-900;11;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";1170;"Coordinate";101;174,00;1;
-900;12;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";1290;"Coordinate";101;188,00;1;
-900;13;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";1400;"Coordinate";101;179,00;1;
-900;14;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";1510;"Coordinate";109;185,00;1;
-900;15;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";1620;"Coordinate";106;182,00;1;
-900;16;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";1730;"Coordinate";98;185,00;1;
-900;17;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";1850;"Coordinate";101;190,00;1;
-900;18;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";1960;"Coordinate";98;190,00;1;
-900;19;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";2070;"Coordinate";76;196,00;1;
-900;20;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";2180;"Coordinate";90;202,00;1;
-900;21;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";2290;"Coordinate";81;190,00;1;
-900;22;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";2410;"Coordinate";64;196,00;1;
-900;23;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";2520;"Coordinate";78;190,00;1;
-900;24;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";2630;"Coordinate";59;190,00;1;
-900;25;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";3080;"Coordinate";70;190,00;1;
-900;26;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";3300;"Coordinate";70;196,00;1;
-900;27;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";3640;"Coordinate";78;196,00;1;
-900;28;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";3750;"Coordinate";59;210,00;1;
-900;29;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";4200;"Coordinate";70;210,00;1;
-900;30;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";4420;"Coordinate";73;210,00;1;
-900;31;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";4530;"Coordinate";81;210,00;1;
-900;32;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";4650;"Coordinate";81;216,00;1;
-900;33;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";4870;"Coordinate";84;216,00;1;
-900;34;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";5320;"Coordinate";84;221,00;1;
-900;35;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";5430;"Coordinate";70;221,00;1;
-900;36;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";5540;"Coordinate";90;221,00;1;
-900;37;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";5650;"Coordinate";90;227,00;1;
-900;38;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";5770;"Coordinate";90;221,00;1;
-900;39;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";5880;"Coordinate";95;221,00;1;
-900;40;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";5990;"Coordinate";90;227,00;1;
-900;41;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";6440;"Coordinate";90;232,00;1;
-900;42;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";6660;"Coordinate";90;227,00;1;
-900;43;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";7330;"Coordinate";84;227,00;1;
-900;44;1;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"11:17:27";"Da";7890;"Coordinate";84;221,00;1;
