-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";0;"AnimPos";1;0,00;0;
-900;2;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";0;"Door Open";0;0,00;0;
-900;3;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";0;"Coordinate";59;196,00;1;
-900;4;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";160;"Coordinate";59;185,00;1;
-900;5;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";390;"Coordinate";59;182,00;1;
-900;6;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";610;"Coordinate";59;176,00;1;
-900;7;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";720;"Coordinate";70;171,00;1;
-900;8;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";840;"Coordinate";67;168,00;1;
-900;9;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";950;"Coordinate";70;168,00;1;
-900;10;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";1060;"Coordinate";67;168,00;1;
-900;11;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";1170;"Coordinate";67;171,00;1;
-900;12;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";1280;"Coordinate";67;182,00;1;
-900;13;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";1400;"Coordinate";67;196,00;1;
-900;14;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";1510;"Coordinate";59;190,00;1;
-900;15;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";2290;"Coordinate";56;196,00;1;
-900;16;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";2400;"Coordinate";59;196,00;1;
-900;17;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";2520;"Coordinate";56;196,00;1;
-900;18;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";2630;"Coordinate";56;202,00;1;
-900;19;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";2850;"Coordinate";56;210,00;1;
-900;20;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";3080;"Coordinate";59;202,00;1;
-900;21;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";3300;"Coordinate";59;210,00;1;
-900;22;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";3520;"Coordinate";64;216,00;1;
-900;23;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";3640;"Coordinate";76;221,00;1;
-900;24;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";3860;"Coordinate";76;227,00;1;
-900;25;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";3970;"Coordinate";81;227,00;1;
-900;26;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";4080;"Coordinate";81;221,00;1;
-900;27;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";4310;"Coordinate";73;221,00;1;
-900;28;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";4420;"Coordinate";78;227,00;1;
-900;29;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";4530;"Coordinate";87;227,00;1;
-900;30;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";4640;"Coordinate";87;218,00;1;
-900;31;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";4760;"Coordinate";78;218,00;1;
-900;32;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";4870;"Coordinate";78;213,00;1;
-900;33;10;6;44;"";"";"";"";"";"";"";"";"";"06/04/2021";"18:24:42";"Da";4980;"Coordinate";84;213,00;1;
