-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";0;"AnimPos";1;0,00;0;
-900;2;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";0;"Door Open";0;0,00;0;
-900;3;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";0;"Coordinate";42;302,00;1;
-900;4;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";380;"Coordinate";42;300,00;1;
-900;5;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";600;"Coordinate";42;302,00;1;
-900;6;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";830;"Coordinate";53;302,00;1;
-900;7;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";2060;"Coordinate";53;300,00;1;
-900;8;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";3290;"Coordinate";53;302,00;1;
-900;9;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";3400;"Coordinate";53;316,00;1;
-900;10;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";3740;"Coordinate";53;319,00;1;
-900;11;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";4300;"Coordinate";53;316,00;1;
-900;12;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";4410;"Coordinate";53;319,00;1;
-900;13;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";4520;"Coordinate";53;316,00;1;
-900;14;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";4630;"Coordinate";53;319,00;1;
-900;15;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";5190;"Coordinate";53;316,00;1;
-900;16;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";5310;"Coordinate";53;319,00;1;
-900;17;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";5640;"Coordinate";42;319,00;1;
-900;18;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";5750;"Coordinate";53;319,00;1;
-900;19;3;6;43;"";"";"";"";"";"";"";"";"";"05/21/2021";"13:12:31";"Da";5980;"Coordinate";48;322,00;1;
