-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";0;"Door Closed";0;0,00;0;
-900;2;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";0;"Habituation";900;0,00;0;
-900;3;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";0;"Coordinate";112;112,00;2;
-900;4;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";5510;"Coordinate";14;112,00;1;
-900;5;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";5620;"Coordinate";0;0,00;1;
-900;6;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";5950;"Coordinate";0;84,00;1;
-900;7;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";6070;"Coordinate";0;140,00;1;
-900;8;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";6180;"Coordinate";0;196,00;1;
-900;9;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";6290;"Coordinate";0;252,00;1;
-900;10;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";6400;"Coordinate";0;280,00;1;
-900;11;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";6510;"Coordinate";0;308,00;1;
-900;12;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";6630;"Coordinate";0;336,00;1;
-900;13;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";6740;"Coordinate";0;364,00;1;
-900;14;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";6850;"Coordinate";0;392,00;1;
-900;15;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";6960;"Coordinate";0;406,00;1;
-900;16;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";7070;"Coordinate";0;420,00;1;
-900;17;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";7300;"Coordinate";6;420,00;1;
-900;18;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";7520;"Coordinate";70;420,00;1;
-900;19;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";7630;"Coordinate";112;420,00;1;
-900;20;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";7750;"Coordinate";168;420,00;1;
-900;21;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";7860;"Coordinate";168;420,00;2;
-900;22;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";7970;"Coordinate";238;420,00;1;
-900;23;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";8080;"Coordinate";280;420,00;1;
-900;24;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";8190;"Coordinate";322;420,00;1;
-900;25;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";8310;"Coordinate";350;420,00;1;
-900;26;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";8420;"Coordinate";378;420,00;1;
-900;27;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";8530;"Coordinate";406;420,00;1;
-900;28;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";8640;"Coordinate";420;420,00;1;
-900;29;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";9090;"Coordinate";420;406,00;1;
-900;30;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";9200;"Coordinate";420;378,00;1;
-900;31;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";9310;"Coordinate";420;336,00;1;
-900;32;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";9430;"Coordinate";420;294,00;1;
-900;33;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";9540;"Coordinate";420;266,00;1;
-900;34;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";9650;"Coordinate";420;224,00;1;
-900;35;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";9760;"Coordinate";420;168,00;1;
-900;36;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";9870;"Coordinate";420;98,00;1;
-900;37;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";9990;"Coordinate";420;42,00;1;
-900;38;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";10320;"Coordinate";420;0,00;1;
-900;39;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";10660;"Coordinate";406;0,00;1;
-900;40;3;99;99;"";"W";"";"";"";"";"";"";"";"01/10/2020";"15:55:40";"Pr";10770;"Coordinate";378;0,00;1;
