-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;10;1;1;"";"";"";"";"";"";"";"";"";"02/27/2022";"14:55:27";"Da";0;"AnimPos";3;0,00;0;
-900;2;10;1;1;"";"";"";"";"";"";"";"";"";"02/27/2022";"14:55:27";"Da";0;"Door Open";0;0,00;0;
-900;3;10;1;1;"";"";"";"";"";"";"";"";"";"02/27/2022";"14:55:27";"Da";0;"Coordinate";342;297,00;1;
-900;4;10;1;1;"";"";"";"";"";"";"";"";"";"02/27/2022";"14:55:27";"Da";20;"Coordinate";336;288,00;1;
-900;5;10;1;1;"";"";"";"";"";"";"";"";"";"02/27/2022";"14:55:27";"Da";350;"Coordinate";336;286,00;1;
-900;6;10;1;1;"";"";"";"";"";"";"";"";"";"02/27/2022";"14:55:27";"Da";460;"Coordinate";314;277,00;1;
-900;7;10;1;1;"";"";"";"";"";"";"";"";"";"02/27/2022";"14:55:27";"Da";690;"Coordinate";316;277,00;1;
-900;8;10;1;1;"";"";"";"";"";"";"";"";"";"02/27/2022";"14:55:27";"Da";800;"Coordinate";314;269,00;1;
-900;9;10;1;1;"";"";"";"";"";"";"";"";"";"02/27/2022";"14:55:27";"Da";910;"Coordinate";336;263,00;1;
-900;10;10;1;1;"";"";"";"";"";"";"";"";"";"02/27/2022";"14:55:27";"Da";1020;"Coordinate";342;263,00;1;
-900;11;10;1;1;"";"";"";"";"";"";"";"";"";"02/27/2022";"14:55:27";"Da";1140;"Coordinate";325;258,00;1;
-900;12;10;1;1;"";"";"";"";"";"";"";"";"";"02/27/2022";"14:55:27";"Da";1250;"Coordinate";356;255,00;1;
-900;13;10;1;1;"";"";"";"";"";"";"";"";"";"02/27/2022";"14:55:27";"Da";1360;"Coordinate";350;249,00;1;
-900;14;10;1;1;"";"";"";"";"";"";"";"";"";"02/27/2022";"14:55:27";"Da";1470;"Coordinate";367;232,00;1;
-900;15;10;1;1;"";"";"";"";"";"";"";"";"";"02/27/2022";"14:55:27";"Da";1580;"Coordinate";367;238,00;1;
-900;16;10;1;1;"";"";"";"";"";"";"";"";"";"02/27/2022";"14:55:27";"Da";1700;"Coordinate";378;238,00;1;
-900;17;10;1;1;"";"";"";"";"";"";"";"";"";"02/27/2022";"14:55:27";"Da";1810;"Coordinate";384;238,00;1;
