-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";0;"AnimPos";3;0,00;0;
-900;2;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";0;"Door Open";0;0,00;0;
-900;3;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";360;"Coordinate";311;272,00;1;
-900;4;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";470;"Coordinate";311;274,00;1;
-900;5;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";700;"Coordinate";311;272,00;1;
-900;6;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";1140;"Coordinate";311;274,00;1;
-900;7;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";1370;"Coordinate";302;274,00;1;
-900;8;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";2490;"Coordinate";302;272,00;1;
-900;9;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";2600;"Coordinate";297;272,00;1;
-900;10;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";2710;"Coordinate";302;274,00;1;
-900;11;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";2940;"Coordinate";297;274,00;1;
-900;12;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";3050;"Coordinate";297;272,00;1;
-900;13;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";3160;"Coordinate";297;266,00;1;
-900;14;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";3270;"Coordinate";300;260,00;1;
-900;15;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";3380;"Coordinate";311;255,00;1;
-900;16;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";3500;"Coordinate";316;249,00;1;
-900;17;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";3720;"Coordinate";316;244,00;1;
-900;18;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";3830;"Coordinate";322;238,00;1;
-900;19;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";3940;"Coordinate";322;244,00;1;
-900;20;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";4060;"Coordinate";316;244,00;1;
-900;21;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";4170;"Coordinate";316;249,00;1;
-900;22;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";4390;"Coordinate";308;249,00;1;
-900;23;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";4500;"Coordinate";308;238,00;1;
-900;24;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";4620;"Coordinate";308;244,00;1;
-900;25;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";4730;"Coordinate";308;238,00;1;
-900;26;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";5180;"Coordinate";308;227,00;1;
-900;27;4;1;2;"";"";"";"";"";"";"";"NaCl";"";"02/27/2022";"13:09:33";"Da";5290;"Coordinate";308;221,00;1;
