-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:40:49";"Da";0;"AnimPos";3;0,00;0;
-900;2;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:40:49";"Da";0;"Door Open";0;0,00;0;
-900;3;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:40:49";"Da";0;"Coordinate";232;129,00;1;
-900;4;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:40:49";"Da";70;"Coordinate";224;129,00;1;
-900;5;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:40:49";"Da";180;"Coordinate";238;129,00;1;
-900;6;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:40:49";"Da";520;"Coordinate";232;137,00;1;
-900;7;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:40:49";"Da";630;"Coordinate";246;137,00;1;
-900;8;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:40:49";"Da";960;"Coordinate";255;132,00;1;
-900;9;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:40:49";"Da";1080;"Coordinate";246;132,00;1;
-900;10;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:40:49";"Da";1190;"Coordinate";246;137,00;1;
-900;11;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:40:49";"Da";1300;"Coordinate";255;137,00;1;
-900;12;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:40:49";"Da";1750;"Coordinate";255;143,00;1;
-900;13;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:40:49";"Da";1860;"Coordinate";246;148,00;1;
-900;14;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:40:49";"Da";2080;"Coordinate";238;148,00;1;
-900;15;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:40:49";"Da";2530;"Coordinate";246;148,00;1;
