-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;3;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/02/2022";"14:01:15";"Da";0;"AnimPos";3;0,00;0;
-900;2;3;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/02/2022";"14:01:15";"Da";0;"Door Open";0;0,00;0;
-900;3;3;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/02/2022";"14:01:15";"Da";0;"Coordinate";322;210,00;1;
-900;4;3;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/02/2022";"14:01:15";"Da";100;"Coordinate";322;207,00;1;
-900;5;3;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/02/2022";"14:01:15";"Da";330;"Coordinate";322;213,00;1;
-900;6;3;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/02/2022";"14:01:15";"Da";440;"Coordinate";316;210,00;1;
-900;7;3;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/02/2022";"14:01:15";"Da";550;"Coordinate";316;202,00;1;
-900;8;3;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/02/2022";"14:01:15";"Da";770;"Coordinate";311;210,00;1;
-900;9;3;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/02/2022";"14:01:15";"Da";890;"Coordinate";311;199,00;1;
-900;10;3;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/02/2022";"14:01:15";"Da";1000;"Coordinate";305;210,00;1;
-900;11;3;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/02/2022";"14:01:15";"Da";1110;"Coordinate";305;199,00;1;
-900;12;3;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/02/2022";"14:01:15";"Da";1220;"Coordinate";305;190,00;1;
-900;13;3;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/02/2022";"14:01:15";"Da";1330;"Coordinate";300;190,00;1;
-900;14;3;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/02/2022";"14:01:15";"Da";1450;"Coordinate";300;221,00;1;
-900;15;3;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/02/2022";"14:01:15";"Da";1890;"Coordinate";311;227,00;1;
