-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";0;"AnimPos";3;0,00;0;
-900;2;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";0;"Door Open";0;0,00;0;
-900;3;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";0;"Coordinate";370;300,00;1;
-900;4;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";10;"Coordinate";370;305,00;1;
-900;5;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";130;"Coordinate";370;300,00;1;
-900;6;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";240;"Coordinate";370;305,00;1;
-900;7;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";460;"Coordinate";378;305,00;1;
-900;8;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";570;"Coordinate";378;300,00;1;
-900;9;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";690;"Coordinate";370;305,00;1;
-900;10;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";800;"Coordinate";378;302,00;1;
-900;11;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";1130;"Coordinate";370;311,00;1;
-900;12;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";1360;"Coordinate";370;308,00;1;
-900;13;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";1810;"Coordinate";370;316,00;1;
-900;14;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";2030;"Coordinate";378;319,00;1;
-900;15;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";2140;"Coordinate";370;319,00;1;
-900;16;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";2370;"Coordinate";364;319,00;1;
-900;17;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";2480;"Coordinate";356;319,00;1;
-900;18;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";2700;"Coordinate";350;322,00;1;
-900;19;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";2810;"Coordinate";342;322,00;1;
-900;20;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";2930;"Coordinate";336;322,00;1;
-900;21;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";3040;"Coordinate";328;328,00;1;
-900;22;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";3150;"Coordinate";322;328,00;1;
-900;23;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";3260;"Coordinate";322;330,00;1;
-900;24;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";3370;"Coordinate";314;330,00;1;
-900;25;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";4050;"Coordinate";308;330,00;1;
-900;26;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";4160;"Coordinate";300;330,00;1;
-900;27;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";5610;"Coordinate";291;330,00;1;
-900;28;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";5730;"Coordinate";300;330,00;1;
-900;29;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";5950;"Coordinate";291;330,00;1;
-900;30;6;2;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"13:04:13";"Da";6170;"Coordinate";300;330,00;1;
