-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";0;"AnimPos";3;0,00;0;
-900;2;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";0;"Door Open";0;0,00;0;
-900;3;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";0;"Coordinate";297;115,00;1;
-900;4;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";20;"Coordinate";316;115,00;1;
-900;5;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";240;"Coordinate";308;115,00;1;
-900;6;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";360;"Coordinate";302;115,00;1;
-900;7;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";690;"Coordinate";311;115,00;1;
-900;8;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";800;"Coordinate";319;112,00;1;
-900;9;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";920;"Coordinate";308;112,00;1;
-900;10;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";1030;"Coordinate";300;115,00;1;
-900;11;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";1250;"Coordinate";308;95,00;1;
-900;12;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";1700;"Coordinate";314;98,00;1;
-900;13;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";1810;"Coordinate";322;98,00;1;
-900;14;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";1920;"Coordinate";322;106,00;1;
-900;15;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";2040;"Coordinate";322;118,00;1;
-900;16;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";2150;"Coordinate";333;120,00;1;
-900;17;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";2260;"Coordinate";356;126,00;1;
-900;18;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";2480;"Coordinate";350;132,00;1;
-900;19;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";2600;"Coordinate";336;132,00;1;
-900;20;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";2710;"Coordinate";344;132,00;1;
-900;21;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";2820;"Coordinate";350;137,00;1;
-900;22;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";2930;"Coordinate";350;123,00;1;
-900;23;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";3040;"Coordinate";356;123,00;1;
-900;24;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";3160;"Coordinate";364;129,00;1;
-900;25;5;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"12:34:33";"Da";3270;"Coordinate";356;129,00;1;
