-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:57:51";" ";0;"Stimulus";0;0,00;0;
-900;2;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:57:51";" ";0;"Coordinate";294;221,00;1;
-900;3;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:57:51";" ";120;"Coordinate";300;221,00;1;
-900;4;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:57:51";" ";230;"Coordinate";300;210,00;1;
-900;5;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:57:51";" ";570;"Coordinate";294;210,00;1;
-900;6;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:57:51";" ";680;"Coordinate";286;216,00;1;
-900;7;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:57:51";" ";790;"Coordinate";280;227,00;1;
-900;8;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:57:51";" ";1010;"Coordinate";272;221,00;1;
-900;9;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:57:51";" ";1130;"Coordinate";266;216,00;1;
-900;10;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:57:51";" ";1800;"Coordinate";272;216,00;1;
-900;11;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:57:51";" ";1910;"Coordinate";272;210,00;1;
-900;12;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:57:51";" ";2020;"Coordinate";272;216,00;1;
-900;13;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:57:51";" ";2250;"Coordinate";266;227,00;1;
-900;14;2;2;1;"";"";"";"";"";"";"";"";"";"03/02/2022";"13:57:51";" ";2360;"Coordinate";266;221,00;1;
