-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";0;"Stimulus";0;0,00;0;
-900;2;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";0;"Coordinate";283;148,00;1;
-900;3;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";210;"Coordinate";269;137,00;1;
-900;4;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";330;"Coordinate";255;132,00;1;
-900;5;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";440;"Coordinate";269;146,00;1;
-900;6;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";550;"Coordinate";263;146,00;1;
-900;7;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";660;"Coordinate";269;151,00;1;
-900;8;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";770;"Coordinate";263;157,00;1;
-900;9;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";890;"Coordinate";263;162,00;1;
-900;10;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";1110;"Coordinate";263;171,00;1;
-900;11;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";1220;"Coordinate";263;165,00;1;
-900;12;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";1450;"Coordinate";272;171,00;1;
-900;13;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";1560;"Coordinate";274;171,00;1;
-900;14;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";1890;"Coordinate";272;171,00;1;
-900;15;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";2010;"Coordinate";274;171,00;1;
-900;16;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";2120;"Coordinate";274;176,00;1;
-900;17;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";2570;"Coordinate";305;176,00;1;
-900;18;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";2680;"Coordinate";311;171,00;1;
-900;19;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";2790;"Coordinate";305;171,00;1;
-900;20;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";3000;"Delay E-Stim";0;0,00;0;
-900;21;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";3010;"Coordinate";311;165,00;1;
-900;22;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";3130;"Coordinate";305;176,00;1;
-900;23;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";3240;"Coordinate";297;176,00;1;
-900;24;9;2;1;"";"";"";"";"";"";"";"NaCl";"";"03/03/2022";"14:38:13";" ";5000;"E-Stim";2;1,00;0;
