-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";0;"Stimulus";0;0,00;0;
-900;2;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";0;"Coordinate";364;87,00;1;
-900;3;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";320;"Coordinate";370;95,00;1;
-900;4;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";1220;"Coordinate";370;98,00;1;
-900;5;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";1330;"Coordinate";370;92,00;1;
-900;6;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";1440;"Coordinate";370;90,00;1;
-900;7;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";1560;"Coordinate";364;90,00;1;
-900;8;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";1670;"Coordinate";364;87,00;1;
-900;9;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";1890;"Coordinate";370;87,00;1;
-900;10;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";2120;"Coordinate";364;87,00;1;
-900;11;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";3000;"Delay E-Stim";0;0,00;0;
-900;12;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";3010;"Coordinate";364;92,00;1;
-900;13;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";3120;"Coordinate";364;95,00;1;
-900;14;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";3910;"Coordinate";370;92,00;1;
-900;15;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";4130;"Coordinate";364;92,00;1;
-900;16;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";4360;"Coordinate";364;90,00;1;
-900;17;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";4470;"Coordinate";370;87,00;1;
-900;18;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";5010;"E-Stim";1;0,00;0;
-900;19;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";7830;"Coordinate";364;92,00;1;
-900;20;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";7940;"Coordinate";364;90,00;1;
-900;21;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";8390;"Coordinate";356;90,00;1;
-900;22;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";8720;"Coordinate";364;92,00;1;
-900;23;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";9060;"Coordinate";370;87,00;1;
-900;24;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";10000;"Offset";1;0,00;0;
-900;25;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";16120;"Coordinate";364;87,00;1;
-900;26;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";16680;"Coordinate";370;87,00;1;
-900;27;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";16790;"Coordinate";370;95,00;1;
-900;28;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";16900;"Coordinate";370;92,00;1;
-900;29;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";17240;"Coordinate";364;92,00;1;
-900;30;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";17350;"Coordinate";364;90,00;1;
-900;31;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";17800;"Coordinate";356;90,00;1;
-900;32;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";17910;"Coordinate";356;92,00;1;
-900;33;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";18020;"Coordinate";364;92,00;1;
-900;34;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";18130;"Coordinate";370;92,00;1;
-900;35;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";18240;"Coordinate";370;90,00;1;
-900;36;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";18360;"Coordinate";370;87,00;1;
-900;37;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";19810;"Coordinate";370;90,00;1;
-900;38;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";25000;"Intertrial";0;0,00;0;
-900;39;3;3;1;"";"";"";"";"";"";"";"";"";"03/03/2022";"11:37:54";" ";29870;"Trial aborted";0;0,00;0;
