-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;7;3;1;"";"";"";"";"";"";"";"";"";"03/04/2022";"12:30:31";" ";0;"Stimulus";0;0,00;0;
-900;2;7;3;1;"";"";"";"";"";"";"";"";"";"03/04/2022";"12:30:31";" ";0;"Coordinate";272;120,00;1;
-900;3;7;3;1;"";"";"";"";"";"";"";"";"";"03/04/2022";"12:30:31";" ";310;"Coordinate";266;126,00;1;
-900;4;7;3;1;"";"";"";"";"";"";"";"";"";"03/04/2022";"12:30:31";" ";530;"Coordinate";258;126,00;1;
-900;5;7;3;1;"";"";"";"";"";"";"";"";"";"03/04/2022";"12:30:31";" ";870;"Coordinate";266;126,00;1;
-900;6;7;3;1;"";"";"";"";"";"";"";"";"";"03/04/2022";"12:30:31";" ";980;"Coordinate";266;118,00;1;
-900;7;7;3;1;"";"";"";"";"";"";"";"";"";"03/04/2022";"12:30:31";" ";1090;"Coordinate";272;118,00;1;
-900;8;7;3;1;"";"";"";"";"";"";"";"";"";"03/04/2022";"12:30:31";" ";1430;"Coordinate";266;120,00;1;
-900;9;7;3;1;"";"";"";"";"";"";"";"";"";"03/04/2022";"12:30:31";" ";1540;"Coordinate";258;126,00;1;
-900;10;7;3;1;"";"";"";"";"";"";"";"";"";"03/04/2022";"12:30:31";" ";1760;"Coordinate";249;126,00;1;
-900;11;7;3;1;"";"";"";"";"";"";"";"";"";"03/04/2022";"12:30:31";" ";1880;"Coordinate";232;132,00;1;
-900;12;7;3;1;"";"";"";"";"";"";"";"";"";"03/04/2022";"12:30:31";" ";1990;"Coordinate";210;137,00;1;
-900;13;7;3;1;"";"";"";"";"";"";"";"";"";"03/04/2022";"12:30:31";" ";2100;"Coordinate";202;140,00;1;
-900;14;7;3;1;"";"";"";"";"";"";"";"";"";"03/04/2022";"12:30:31";" ";2210;"Coordinate";171;154,00;1;
-900;15;7;3;1;"";"";"";"";"";"";"";"";"";"03/04/2022";"12:30:31";" ";2320;"Coordinate";148;157,00;1;
-900;16;7;3;1;"";"";"";"";"";"";"";"";"";"03/04/2022";"12:30:31";" ";2320;"Transfer";1;0,00;0;
-900;17;7;3;1;"";"";"";"";"";"";"";"";"";"03/04/2022";"12:30:31";" ";2330;"Intertrial";0;0,00;0;
