-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";0;"Stimulus";0;0,00;0;
-900;2;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";0;"Coordinate";308;283,00;1;
-900;3;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";570;"Coordinate";308;286,00;1;
-900;4;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";910;"Coordinate";308;283,00;1;
-900;5;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";1130;"Coordinate";308;269,00;1;
-900;6;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";1250;"Coordinate";316;272,00;1;
-900;7;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";1360;"Coordinate";308;283,00;1;
-900;8;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";1810;"Coordinate";305;283,00;1;
-900;9;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";2480;"Coordinate";308;283,00;1;
-900;10;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";3010;"Delay E-Stim";0;0,00;0;
-900;11;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";3040;"Coordinate";308;263,00;1;
-900;12;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";3370;"Coordinate";308;269,00;1;
-900;13;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";3490;"Coordinate";308;272,00;1;
-900;14;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";3820;"Coordinate";308;277,00;1;
-900;15;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";5000;"E-Stim";1;0,00;0;
-900;16;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";5280;"Coordinate";308;272,00;1;
-900;17;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";5390;"Coordinate";308;277,00;1;
-900;18;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";5730;"Coordinate";308;272,00;1;
-900;19;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";10010;"Offset";1;0,00;0;
-900;20;8;3;1;"";"";"";"";"";"";"";"NaCl";"";"03/04/2022";"12:51:01";" ";15680;"Trial aborted";0;0,00;0;
