-110;12;
-120;"No";"AnimNo";"TrialNo";"ExpNo";"Group";"Strain";"Age";"Weight";"Code";"Operator";"Comment";"Test Substance";"Dosage";"Date";"StartTime";"Type";"Time";"Event";"Parameter1";"Parameter2";"Parameter3";
-130;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;
-900;1;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";0;"AnimPos";1;0,00;0;
-900;2;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";0;"Door Open";0;0,00;0;
-900;3;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";6580;"Coordinate";101;168,00;1;
-900;4;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";6690;"Coordinate";101;188,00;1;
-900;5;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";6800;"Coordinate";92;196,00;1;
-900;6;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";6910;"Coordinate";78;185,00;1;
-900;7;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";7030;"Coordinate";84;213,00;1;
-900;8;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";7140;"Coordinate";84;241,00;1;
-900;9;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";7250;"Coordinate";78;260,00;1;
-900;10;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";7360;"Coordinate";87;288,00;1;
-900;11;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";7470;"Coordinate";92;308,00;1;
-900;12;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";7590;"Coordinate";126;325,00;1;
-900;13;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";7700;"Coordinate";134;325,00;1;
-900;14;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";7810;"Coordinate";134;316,00;1;
-900;15;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";7920;"Coordinate";134;308,00;1;
-900;16;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";8030;"Coordinate";134;280,00;1;
-900;17;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";8150;"Coordinate";134;252,00;1;
-900;18;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";8260;"Coordinate";134;213,00;1;
-900;19;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";8370;"Coordinate";134;188,00;1;
-900;20;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";8480;"Coordinate";134;160,00;1;
-900;21;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";8590;"Coordinate";134;140,00;1;
-900;22;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";8710;"Coordinate";134;118,00;1;
-900;23;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";8820;"Coordinate";134;95,00;1;
-900;24;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";8930;"Coordinate";134;101,00;1;
-900;25;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";9270;"Coordinate";115;112,00;1;
-900;26;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";9380;"Coordinate";92;129,00;1;
-900;27;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";9490;"Coordinate";87;148,00;1;
-900;28;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";9600;"Coordinate";78;168,00;1;
-900;29;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";9710;"Coordinate";84;196,00;1;
-900;30;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";9830;"Coordinate";84;241,00;1;
-900;31;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";9940;"Coordinate";78;280,00;1;
-900;32;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";10050;"Coordinate";87;297,00;1;
-900;33;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";10160;"Coordinate";104;319,00;1;
-900;34;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";10270;"Coordinate";115;316,00;1;
-900;35;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";10390;"Coordinate";112;316,00;1;
-900;36;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";10500;"Coordinate";87;288,00;1;
-900;37;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";10610;"Coordinate";78;252,00;1;
-900;38;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";10720;"Coordinate";84;213,00;1;
-900;39;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";10830;"Coordinate";84;185,00;1;
-900;40;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";10950;"Coordinate";78;148,00;1;
-900;41;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";11060;"Coordinate";87;129,00;1;
-900;42;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";11170;"Coordinate";101;134,00;1;
-900;43;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";11280;"Coordinate";129;134,00;1;
-900;44;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";11390;"Coordinate";134;129,00;1;
-900;45;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";11620;"Coordinate";120;148,00;1;
-900;46;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";11730;"Coordinate";104;176,00;1;
-900;47;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";11840;"Coordinate";87;196,00;1;
-900;48;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";11950;"Coordinate";84;224,00;1;
-900;49;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";12070;"Coordinate";84;232,00;1;
-900;50;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";12180;"Coordinate";87;230,00;1;
-900;51;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";12290;"Coordinate";106;218,00;1;
-900;52;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";12400;"Coordinate";120;210,00;1;
-900;53;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";12510;"Coordinate";134;204,00;1;
-900;54;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";12630;"Coordinate";134;218,00;1;
-900;55;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";12740;"Coordinate";134;232,00;1;
-900;56;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";12850;"Coordinate";134;258,00;1;
-900;57;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";12960;"Coordinate";134;288,00;1;
-900;58;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";13070;"Coordinate";134;325,00;1;
-900;59;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";13190;"Coordinate";112;210,00;1;
-900;60;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";14530;"Coordinate";154;129,00;1;
-900;61;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";14870;"Coordinate";171;129,00;1;
-900;62;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";14980;"Coordinate";185;129,00;1;
-900;63;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";15090;"Coordinate";199;129,00;1;
-900;64;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";15090;"Transfer";3;0,00;0;
-900;65;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";15200;"Coordinate";213;148,00;1;
-900;66;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";15430;"Coordinate";218;160,00;1;
-900;67;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";15540;"Coordinate";241;176,00;1;
-900;68;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";15650;"Coordinate";246;185,00;1;
-900;69;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";15760;"Coordinate";241;188,00;1;
-900;70;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";15870;"Coordinate";218;196,00;1;
-900;71;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";15990;"Coordinate";204;204,00;1;
-900;72;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";16100;"Coordinate";171;213,00;1;
-900;73;8888;6;1;"test aren";"";"";"";"";"";"";"";"";"07/06/2020";"09:06:11";"Br";16320;"Coordinate";185;218,00;1;
